Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Karygiannis,Nancy Patchell,Pauline Thompson,Harry Tsai,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Scarborough",62,28,2,56,0,148,257
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Scarborough",103,21,6,150,1,281,438
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 415","Scarborough",109,44,9,123,2,287,442
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 416","Scarborough",114,79,6,29,1,229,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 417","Scarborough",137,86,6,58,1,288,542
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 418","Scarborough",59,29,2,84,2,176,284
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 419","Scarborough",67,32,5,69,1,174,428
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 420","Scarborough",46,30,6,66,0,148,367
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 421","Scarborough",71,43,0,49,0,163,357
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 422","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 423","Scarborough",35,31,0,43,0,109,336
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 424","Scarborough",38,15,2,165,0,220,261
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 425","Scarborough",38,33,4,30,0,105,220
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 426","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 427","Scarborough",52,20,6,116,5,199,298
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 428","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 429","Scarborough",19,10,0,81,0,110,141
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 430","Scarborough",110,27,0,30,3,170,305
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 431","Scarborough",89,21,3,37,0,150,270
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 432","Scarborough",28,11,1,31,0,71,169
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 433","Scarborough",70,17,0,98,2,187,344
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 434","Scarborough",77,24,5,113,3,222,377
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 435","Scarborough",23,8,2,32,1,66,128
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 436","Scarborough",58,51,4,135,3,251,320
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 437","Scarborough",105,28,7,126,3,269,288
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 438","Scarborough",44,25,2,30,1,102,246
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 439","Scarborough",27,20,4,24,0,75,202
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 440","Scarborough",33,22,2,21,0,78,189
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 441","Scarborough",38,26,3,29,0,96,202
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 442","Scarborough",32,22,5,16,1,76,203
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 443","Scarborough",81,43,3,21,0,148,290
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 444","Scarborough",79,54,5,41,3,182,319
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 445","Scarborough",71,48,2,70,1,192,388
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 446","Scarborough",34,21,0,52,0,107,286
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 447","Scarborough",87,39,3,111,1,241,479
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 448","Scarborough",33,20,2,13,0,68,237
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 449","Scarborough",31,43,1,35,1,111,222
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 500","Mobile poll/Bureau itinérant",32,12,4,80,5,133,215
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 501","Mobile poll/Bureau itinérant",54,14,3,62,3,136,231
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 600","Scarborough",267,43,22,144,4,480,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 601","Scarborough",251,60,8,168,4,491,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 602","Scarborough",292,67,16,226,3,604,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 603","Scarborough",225,54,7,177,0,463,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 604","Scarborough",255,61,15,203,7,541,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 605","Scarborough",190,67,15,143,2,417,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 606","Scarborough",312,80,18,233,3,646,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 607","Scarborough",189,26,3,109,1,328,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 608","Scarborough",215,37,7,150,2,411,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 609","Scarborough",182,27,3,110,1,323,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 610","Scarborough",248,43,7,149,0,447,
35080,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 1/Groupe 1,27,6,3,14,5,55,95
35080,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 2/Groupe 2,364,61,17,216,8,666,
