Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irwin Cotler,Gabriel Dumais,Jeff Itcush,Diane Johnston,Brian Sarwer-Foner,abraham Weizfeld,Saulie Zajdel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Mount Royal/Mont-Royal"," 16","Mont-Royal",114,7,34,1,5,0,42,1,204,410
24044,"Mount Royal/Mont-Royal"," 17A","Mont-Royal",145,22,53,0,9,2,31,1,263,463
24044,"Mount Royal/Mont-Royal"," 17B","Mont-Royal",Merged with No. 1/Fusionné avec le nº 1,,,,,,,,,79
24044,"Mount Royal/Mont-Royal"," 18A","Mont-Royal",Merged with No. 16/Fusionné avec le nº 16,,,,,,,,,61
24044,"Mount Royal/Mont-Royal"," 18B","Mont-Royal",92,4,51,0,2,0,41,0,190,443
24044,"Mount Royal/Mont-Royal"," 19","Mont-Royal",55,5,48,0,2,0,19,0,129,383
24044,"Mount Royal/Mont-Royal"," 20","Mont-Royal",117,8,34,0,1,0,35,0,195,329
24044,"Mount Royal/Mont-Royal"," 21","Mont-Royal",148,14,39,0,9,1,27,2,240,418
24044,"Mount Royal/Mont-Royal"," 22","Mont-Royal",89,14,57,1,5,0,22,3,191,372
24044,"Mount Royal/Mont-Royal"," 23","Mont-Royal",87,6,57,1,8,0,27,1,187,436
24044,"Mount Royal/Mont-Royal"," 24","Mont-Royal",116,13,56,0,5,0,47,4,241,421
24044,"Mount Royal/Mont-Royal"," 25","Mont-Royal",84,10,50,0,6,0,34,0,184,339
24044,"Mount Royal/Mont-Royal"," 26","Mont-Royal",88,6,41,1,3,0,46,0,185,391
24044,"Mount Royal/Mont-Royal"," 27","Mont-Royal",94,6,22,0,4,0,59,0,185,315
24044,"Mount Royal/Mont-Royal"," 28","Mont-Royal",105,10,41,1,4,1,49,3,214,366
24044,"Mount Royal/Mont-Royal"," 29","Mont-Royal",64,6,43,1,7,0,30,1,152,351
24044,"Mount Royal/Mont-Royal"," 30","Mont-Royal",120,5,57,0,3,0,59,1,245,453
24044,"Mount Royal/Mont-Royal"," 31","Mont-Royal",111,11,28,0,2,0,69,1,222,403
24044,"Mount Royal/Mont-Royal"," 32","Mont-Royal",126,14,36,0,4,0,41,0,221,408
24044,"Mount Royal/Mont-Royal"," 33","Mont-Royal",139,21,54,0,9,0,23,0,246,419
24044,"Mount Royal/Mont-Royal"," 34A","Mont-Royal",101,6,50,0,13,0,37,2,209,439
24044,"Mount Royal/Mont-Royal"," 34B","Mont-Royal",Merged with No. 35/Fusionné avec le nº 35,,,,,,,,,63
24044,"Mount Royal/Mont-Royal"," 35","Mont-Royal",81,10,50,1,4,0,37,0,183,366
24044,"Mount Royal/Mont-Royal"," 36","Mont-Royal",79,6,40,0,7,0,45,1,178,447
24044,"Mount Royal/Mont-Royal"," 37","Montréal",91,9,49,1,9,0,33,1,193,246
24044,"Mount Royal/Mont-Royal"," 38","Montréal",79,16,44,1,6,0,24,0,170,318
24044,"Mount Royal/Mont-Royal"," 39A","Montréal",72,10,45,0,4,0,27,0,158,397
24044,"Mount Royal/Mont-Royal"," 39B","Montréal",Merged with No. 37/Fusionné avec le nº 37,,,,,,,,,122
24044,"Mount Royal/Mont-Royal"," 40","Montréal",94,8,57,1,2,0,27,2,191,411
24044,"Mount Royal/Mont-Royal"," 41","Montréal",120,5,56,0,2,1,27,5,216,465
24044,"Mount Royal/Mont-Royal"," 42","Montréal",119,6,59,2,2,0,24,1,213,434
24044,"Mount Royal/Mont-Royal"," 43","Montréal",109,4,61,3,1,0,55,7,240,421
24044,"Mount Royal/Mont-Royal"," 44","Montréal",118,5,58,2,3,0,44,3,233,262
24044,"Mount Royal/Mont-Royal"," 44-1","Montréal",78,4,27,4,6,0,17,2,138,345
24044,"Mount Royal/Mont-Royal"," 45","Montréal",93,5,45,2,3,1,71,0,220,438
24044,"Mount Royal/Mont-Royal"," 46A","Montréal",Merged with No. 44/Fusionné avec le nº 44,,,,,,,,,158
24044,"Mount Royal/Mont-Royal"," 46B","Montréal",111,4,44,0,3,0,35,2,199,412
24044,"Mount Royal/Mont-Royal"," 47","Montréal",142,2,38,1,3,2,46,3,237,395
24044,"Mount Royal/Mont-Royal"," 48A","Montréal",Merged with No. 47/Fusionné avec le nº 47,,,,,,,,,59
24044,"Mount Royal/Mont-Royal"," 48B","Montréal",88,9,46,5,4,0,31,1,184,431
24044,"Mount Royal/Mont-Royal"," 49A","Montréal",Merged with No. 62/Fusionné avec le nº 62,,,,,,,,,134
24044,"Mount Royal/Mont-Royal"," 49B","Montréal",72,0,49,2,2,1,52,2,180,426
24044,"Mount Royal/Mont-Royal"," 50","Montréal",56,4,40,1,2,0,50,3,156,329
24044,"Mount Royal/Mont-Royal"," 51","Montréal",76,6,58,2,5,0,33,1,181,452
24044,"Mount Royal/Mont-Royal"," 52A","Montréal",60,1,33,2,1,0,13,0,110,405
24044,"Mount Royal/Mont-Royal"," 52B","Montréal",Merged with No. 83/Fusionné avec le nº 83,,,,,,,,,72
24044,"Mount Royal/Mont-Royal"," 52-1","Montréal",58,18,84,0,5,0,20,0,185,255
24044,"Mount Royal/Mont-Royal"," 53","Montréal",101,8,75,1,4,0,42,3,234,427
24044,"Mount Royal/Mont-Royal"," 54A","Montréal",Merged with No. 55/Fusionné avec le nº 55,,,,,,,,,142
24044,"Mount Royal/Mont-Royal"," 54B","Montréal",60,2,28,0,2,1,79,3,175,431
24044,"Mount Royal/Mont-Royal"," 55","Montréal",84,6,50,0,2,0,67,1,210,308
24044,"Mount Royal/Mont-Royal"," 56","Montréal",58,12,62,1,5,0,17,3,158,358
24044,"Mount Royal/Mont-Royal"," 57","Montréal",101,8,67,2,4,0,21,5,208,436
24044,"Mount Royal/Mont-Royal"," 58","Montréal",115,3,57,1,1,0,37,4,218,461
24044,"Mount Royal/Mont-Royal"," 59A","Montréal",81,3,50,2,0,1,30,2,169,411
24044,"Mount Royal/Mont-Royal"," 59B","Montréal",Merged with No. 61/Fusionné avec le nº 61,,,,,,,,,76
24044,"Mount Royal/Mont-Royal"," 60","Montréal",92,3,57,5,0,1,32,5,195,402
24044,"Mount Royal/Mont-Royal"," 61","Montréal",64,2,37,1,2,1,61,2,170,318
