Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Léandre Gervais,Johnny Kasudluak,Yvon Lévesque,Jean-Maurice Matte,Romeo Saganash,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 147","Malartic",5,1,21,12,21,0,60,125
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 148","Malartic",1,0,6,3,19,1,30,42
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 149","Malartic",6,2,29,15,37,4,93,280
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 150","Malartic",15,1,35,44,67,2,164,405
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 151","Malartic",5,1,15,6,32,4,63,143
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 500","Mobile poll/Bureau itinérant",8,3,12,11,13,1,48,69
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 501","Mobile poll/Bureau itinérant",24,6,32,42,27,6,137,200
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 502","Mobile poll/Bureau itinérant",30,1,23,33,18,3,108,176
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 503","Mobile poll/Bureau itinérant",4,2,1,30,7,0,44,45
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 600","Kuujjuaq",15,14,2,2,12,0,45,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 601A","Chisasibi",18,10,4,9,180,1,222,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 601B","Chisasibi",16,5,0,2,37,0,60,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 601C","Chisasibi",2,1,0,0,13,0,16,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 602","Matagami",9,1,30,28,27,1,96,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 603","Chibougamau",15,8,108,67,240,5,443,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 604","Lebel-sur-Quévillon",7,2,82,41,69,4,205,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 605A","Chapais",9,1,35,26,70,2,143,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 605B","Chapais",1,1,1,2,34,0,39,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 606","Senneterre",22,2,64,245,89,6,428,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 607","Val-d'Or",72,9,110,170,180,5,546,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 608","Val-d'Or",69,11,100,179,185,7,551,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 609","Val-d'Or",81,11,139,228,250,14,723,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 610","Lac-Fouillac--Malartic",47,10,117,132,145,5,456,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 611","Radisson",1,0,9,0,11,2,23,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,Group 1/Groupe 1,65,38,15,29,40,20,207,306
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,Group 2/Groupe 2,168,12,322,408,283,16,1209,
