Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Chisholm,Mike Savage,Paul Shreenan,Wanda Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 138","Halifax",130,63,9,90,0,292,531
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 139","Halifax",79,53,12,54,4,202,430
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 140","Halifax",52,23,4,24,0,103,267
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 140-1","Halifax",50,39,5,35,1,130,310
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 141","Halifax",47,29,10,40,0,126,230
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 142","Halifax",70,50,5,40,0,165,356
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143","Halifax",93,41,8,43,0,185,333
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 144","Halifax",108,49,11,37,0,205,354
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 145","Halifax",87,42,8,44,0,181,330
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 145-1","Halifax",87,24,4,44,0,159,272
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 146","Halifax",86,42,4,40,1,173,357
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 147","Halifax",60,51,4,40,1,156,283
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 147-1","Halifax",15,12,2,21,0,50,211
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 148","Halifax",86,35,8,33,0,162,327
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 149","Halifax",65,37,11,58,0,171,311
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 150","Halifax",101,38,11,56,2,208,415
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 151","Halifax",83,28,16,58,1,186,305
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 152","Halifax",72,31,4,18,0,125,247
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 153","Halifax",102,52,18,61,1,234,480
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 154","Halifax",92,57,6,90,1,246,480
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 155","Halifax",83,62,7,84,0,236,462
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 156","Halifax",62,72,3,54,0,191,409
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 157","Halifax",45,39,6,45,0,135,257
