Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Chicoine,Carole Freeman,Clara Kwan,Linda Schwey,Linda Sullivan,André Turcôt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 603","Châteauguay",195,98,3,66,2,63,6,433,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 604","Châteauguay",138,66,0,57,0,51,3,315,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 605","Mercier",232,142,8,34,0,44,3,463,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 606","Saint-Isidore",42,35,0,2,0,1,0,80,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 607","Kahnawake--Sainte-Catherine",212,168,6,53,1,51,7,498,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 608","Sainte-Catherine",143,95,2,51,0,39,4,334,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 609","Delson",269,219,9,66,1,71,1,636,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 610","Saint-Constant",220,163,3,53,0,51,8,498,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 611","Saint-Constant",195,172,6,36,0,37,3,449,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 612","Saint-Mathieu",92,61,1,16,0,34,2,206,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 613","Châteauguay",159,65,2,70,1,52,1,350,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 614","Châteauguay",174,136,5,57,1,40,6,419,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 615","Châteauguay",143,79,7,71,0,48,1,349,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 616","Châteauguay",139,59,1,42,2,31,4,278,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 617","Mercier",206,160,3,54,0,44,3,470,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 618","Sainte-Catherine",162,99,4,22,0,32,6,325,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 619","Saint-Constant",242,166,5,41,1,52,1,508,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 620","Saint-Constant",178,96,6,21,3,37,3,344,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 621","Châteauguay",84,36,0,30,0,42,2,194,
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant",,Group 1/Groupe 1,9,26,9,19,0,40,6,109,186
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant",,Group 2/Groupe 2,147,223,12,78,3,59,10,532,
