Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bernier,Garnet Colly,Riccardo De Ioris,Michael Di Pardo,Massimo Pacetti,Roberta Peressini,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 400B","Saint-Léonard",41,2,25,6,62,35,8,179,232
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 401","Montréal",24,0,20,2,41,35,5,127,168
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 402","Montréal",Merged with No. 49B/Fusionné avec le nº 49B,,,,,,,,17
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 600","Saint-Léonard",44,1,41,6,162,108,5,367,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 601","Saint-Léonard",31,1,56,2,163,84,6,343,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 602","Saint-Léonard",31,0,63,5,158,116,7,380,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 603","Saint-Léonard",50,0,41,8,131,124,4,358,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 604","Saint-Léonard",19,0,27,5,66,71,1,189,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 605","Saint-Léonard",58,0,45,6,136,93,3,341,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 606","Montréal",50,1,33,6,131,91,1,313,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 607","Montréal",31,0,17,3,63,57,3,174,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 608","Saint-Léonard",39,0,29,1,75,60,2,206,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 609","Saint-Léonard",51,2,54,2,150,120,6,385,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 610","Montréal",20,0,17,0,53,31,2,123,
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 1/Groupe 1,7,0,11,1,48,15,9,91,140
24067,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 2/Groupe 2,33,0,21,8,101,57,4,224,
