Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Denise Ghanam,Irek Kusmierczyk,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 605","Windsor",1,218,97,31,5,0,352,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 606","Windsor",0,186,83,25,8,2,304,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 607","Windsor",0,132,69,35,7,3,246,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 608","Windsor",2,209,147,65,5,3,431,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 609","Tecumseh",1,250,225,92,11,0,579,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 610","Tecumseh",0,197,138,76,10,1,422,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 611","Windsor",1,162,250,109,19,0,541,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 612","Windsor",1,151,86,62,8,0,308,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 613","Tecumseh",0,65,56,11,3,0,135,
35101,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 1/Groupe 1,2,28,72,23,6,6,137,245
35101,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 2/Groupe 2,2,325,213,119,25,14,698,
