Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernadette Clement,Darcy Neal Donnelly,Guy Lauzon,Mario Leclerc,Wyatt Joseph Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 503","Mobile poll/Bureau itinérant",25,3,51,9,1,1,90,128
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 504","Mobile poll/Bureau itinérant",22,1,92,9,1,6,131,230
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 505","Mobile poll/Bureau itinérant",16,1,59,8,2,0,86,196
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 600","North Dundas--Winchester",82,6,778,76,14,3,959,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 601","North Dundas--Chesterville",43,4,432,33,13,0,525,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 602","South Dundas--Iroquois",63,1,484,42,18,2,610,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 603","South Dundas--Morrisburg",73,3,572,62,12,2,724,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 604","North Stormont--Finch",39,1,339,39,6,0,424,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 605","North Stormont--Moose Creek",35,0,224,38,5,0,302,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 606","South Stormont--Ingleside",49,0,351,47,5,2,454,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 607","South Stormont--St. Andrews",60,1,341,40,8,0,450,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 608","Cornwall",129,3,468,88,9,3,700,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 609","Cornwall",114,0,323,59,6,1,503,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 610","Cornwall",124,0,346,44,15,1,530,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 611","Cornwall",170,0,335,94,4,5,608,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 612","Cornwall",243,0,444,87,13,1,788,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 613","South Glengarry--Williamstown",97,1,300,37,11,2,448,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 614","South Glengarry--Lancaster",81,2,284,69,8,4,448,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 615","South Stormont--Long Sault",70,2,398,41,12,0,523,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 616","Cornwall",98,1,326,58,10,1,494,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 617","South Glengarry--St. Raphael",53,0,210,47,8,1,319,
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",,Group 1/Groupe 1,39,6,88,8,5,11,157,311
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",,Group 2/Groupe 2,315,3,670,117,22,13,1140,
