Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Collin Anderson,Tony Hajj,Margaret McLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 188","Calgary",111,23,17,23,0,174,451
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 189","Calgary",151,36,11,39,1,238,549
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 190","Calgary",204,24,12,27,1,268,580
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 191","Calgary",141,40,9,32,0,222,629
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192","Calgary",224,51,9,44,1,329,860
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192-1","Calgary",238,42,13,43,0,336,824
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192-2","Calgary",90,39,12,14,0,155,432
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192-3A","Calgary",135,27,11,25,0,198,504
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 192-3B","Calgary",134,30,18,17,0,199,581
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 193","Calgary",136,27,10,34,1,208,532
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 193-1","Calgary",111,26,5,23,2,167,451
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 194","Calgary",175,15,11,25,2,228,394
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 195","Calgary",191,35,18,29,1,274,507
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 196","Calgary",184,28,17,16,0,245,534
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 197","Calgary",159,30,13,12,0,214,517
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 197-1","Calgary",219,46,23,22,1,311,719
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 198","Calgary",144,32,9,20,1,206,671
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 198-1","Calgary",151,22,11,24,1,209,491
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 199","Calgary",148,21,8,16,0,193,461
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 200","Calgary",151,29,12,15,0,207,507
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 201","Calgary",205,33,14,25,0,277,610
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 202","Calgary",225,32,11,28,0,296,627
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 203","Calgary",250,37,14,32,1,334,680
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 203-1A","Calgary",120,22,10,24,0,176,380
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 203-1B","Calgary",158,38,6,19,1,222,464
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 204","Calgary",132,35,3,27,1,198,645
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 204-1","Calgary",106,25,8,33,0,172,530
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 205A","Calgary",171,32,10,24,1,238,448
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 205B","Calgary",150,36,8,27,0,221,449
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 500","Mobile poll/Bureau itinérant",226,12,2,31,0,271,369
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 600","Calgary",535,63,28,99,3,728,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 601","Calgary",386,37,17,39,0,479,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 602","Calgary",352,41,22,58,0,473,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 603","Calgary",581,41,22,163,1,808,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 604","Calgary",562,52,38,90,2,744,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 605","Calgary",455,82,73,113,2,725,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 606","Calgary",375,39,35,101,0,550,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 607","Calgary",482,49,23,116,1,671,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 608","Calgary",554,99,42,75,2,772,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 609","Calgary",419,53,18,59,0,549,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 610","Calgary",395,39,28,84,1,547,
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 611","Calgary",314,50,14,65,1,444,
48005,"Calgary--Nose Hill/Calgary--Nose Hill",,Group 1/Groupe 1,51,8,4,23,4,90,159
48005,"Calgary--Nose Hill/Calgary--Nose Hill",,Group 2/Groupe 2,589,86,48,143,4,870,
