Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhéal Blais,Charles Cartier,Krista Lalonde,Louis Plamondon,Anne-Marie Tanguay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 63","Saint-Jean-Baptiste-de-Nicolet",15,13,34,43,4,4,113,205
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 64","Nicolet",18,20,51,42,5,4,140,227
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 65","Nicolet",21,19,46,76,3,6,171,336
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 66","Saint-Jean-Baptiste-de-Nicolet",35,57,89,104,5,7,297,470
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 67","Saint-Jean-Baptiste-de-Nicolet",25,59,12,116,139,10,361,616
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 68","Nicolet",23,18,70,40,10,1,162,451
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 69","Nicolet",22,30,86,70,3,7,218,457
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 70","Nicolet",17,23,71,64,8,0,183,344
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 71","Nicolet",38,38,73,55,11,7,222,441
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 72","Nicolet",Void/Supprimé,,,,,,,
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 73","Nicolet",7,9,31,35,3,2,87,272
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 74","Nicolet",8,6,57,55,7,3,136,319
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 75","Nicolet",16,29,60,75,11,4,195,320
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 76","Nicolet-Sud",14,18,73,61,10,1,177,300
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 77","Baie-du-Febvre",19,22,53,78,3,3,178,274
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 78","Baie-du-Febvre",13,11,29,34,0,3,90,134
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 79","Baie-du-Febvre",32,37,88,117,2,7,283,407
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 80","La Visitation",14,30,67,77,2,3,193,269
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 81","Saint-Zéphirin",19,42,71,61,0,4,197,310
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 82","Saint-Zéphirin",12,33,73,53,6,2,179,267
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 83","Pierreville",10,17,46,81,3,1,158,290
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 84","Pierreville",7,16,74,91,3,3,194,376
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 85","Pierreville",19,12,85,85,2,2,205,467
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 86","Pierreville",10,20,65,87,4,1,187,350
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 87","Pierreville",18,11,36,62,7,5,139,333
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 88","Saint-Elphège",13,26,55,58,3,4,159,221
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 89","Saint-François-du-Lac",20,28,87,82,5,3,225,394
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 90","Saint-François-du-Lac",18,28,79,121,13,7,266,471
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 91","Saint-François-du-Lac",6,12,49,65,2,4,138,278
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 92","Notre-Dame-de-Pierreville",15,18,71,82,4,10,200,347
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 93","Saint-François-du-Lac",12,28,95,110,9,9,263,454
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 94","Saint-Gérard-Majella",8,51,32,34,1,1,127,191
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 95","Sainte-Anne-de-Sorel",17,18,69,86,7,9,206,377
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 96","Sainte-Anne-de-Sorel",16,19,71,86,5,4,201,403
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 97","Yamaska",14,18,66,89,6,1,194,317
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 98","Saint-Michel-d'Yamaska",21,42,87,84,3,5,242,423
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 99","Yamaska",19,50,97,75,5,8,254,428
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 100","Yamaska",14,13,44,37,2,0,110,205
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 101","Saint-David",20,29,57,66,7,2,181,299
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 102","Saint-David",16,23,75,74,5,3,196,352
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 103","Sainte-Anne-de-Sorel",18,35,84,77,6,2,222,441
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 104","Sainte-Anne-de-Sorel",13,12,84,68,7,6,190,352
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 105","Sainte-Anne-de-Sorel",44,10,55,37,3,3,152,294
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 106","Sainte-Anne-de-Sorel",17,13,76,100,5,2,213,404
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 107","Sorel",11,21,51,73,2,0,158,361
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 108","Sorel",25,11,53,74,3,0,166,317
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 109","Sorel",16,17,56,79,6,3,177,350
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 110","Sorel",23,16,48,76,3,1,167,309
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 111","Sorel",19,10,51,58,1,0,139,332
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 112","Sorel",25,22,35,71,3,3,159,359
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 113","Sorel",15,8,41,52,5,2,123,341
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 114","Sorel",9,16,40,81,6,4,156,362
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 115","Sorel",15,24,50,44,2,0,135,333
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 116","Sorel",5,5,27,54,2,5,98,328
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 117","Sorel",34,26,111,126,10,7,314,545
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 118","Sorel",10,17,56,61,7,3,154,309
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 119","Sorel",26,17,42,48,4,9,146,282
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 120","Sorel",17,5,37,50,4,6,119,350
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 121","Sorel",9,9,18,46,1,2,85,303
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 122","Sorel",9,9,28,37,4,0,87,338
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 123","Sorel",11,11,32,52,6,3,115,412
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 124","Sorel",4,3,21,48,1,0,77,287
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 125","Sorel",7,6,24,44,3,5,89,300
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 126","Sorel",10,3,31,44,4,3,95,280
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 127","Sorel",21,14,46,65,4,4,154,476
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 128","Sorel",10,12,32,53,4,4,115,325
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 129","Sorel",13,8,47,82,7,3,160,416
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 130","Sorel",18,12,61,85,10,2,188,367
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 131","Sorel",16,23,100,122,4,9,274,575
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 132","Sorel",21,18,67,98,9,5,218,421
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 133","Saint-Joseph-de-Sorel",18,11,49,67,3,7,155,294
