Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karen Gventer,Emma Hogbin,Kimberley Love,Larry Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 605","Owen Sound",47,56,120,180,0,403,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 606","Owen Sound",73,39,136,309,4,561,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 607","Meaford",85,54,211,484,3,837,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 608","Tara",28,18,60,255,1,362,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 609","Chesley",61,34,85,250,6,436,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 610","Chatsworth",77,64,86,375,0,602,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 611","Hanover",85,31,165,395,2,678,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 612","Durham",97,44,115,418,7,681,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 613","Flesherton",47,57,85,319,0,508,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 614","Ayton",33,17,69,209,1,329,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 615","Dundalk",34,17,69,193,0,313,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 616","Owen Sound",62,53,140,264,2,521,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 617","Owen Sound--Heritage Mall",54,44,97,316,1,512,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 618","Osprey",30,16,62,182,0,290,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 1/Groupe 1,15,13,28,76,4,136,239
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 2/Groupe 2,115,139,300,807,13,1374,
