Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jacques Grenier,Jean-Yves Laforest,Lise St-Denis,Yves Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 94","Grand-Mère",2,24,42,54,9,3,134,281
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 95","Grand-Mère",5,27,49,58,11,4,154,320
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 96","Grand-Mère",4,50,55,63,11,7,190,366
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 97","Grand-Mère",4,39,54,72,13,7,189,407
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 98","Grand-Mère",2,31,33,37,15,5,123,377
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 99","Grand-Mère",4,21,23,41,7,4,100,327
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 100","Grand-Mère",0,28,40,43,9,3,123,305
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 100-1","Grand-Mère",2,4,7,4,4,0,21,157
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 101","Grand-Mère",1,19,33,48,9,0,110,360
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 102","Grand-Mère",4,21,33,59,23,3,143,374
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 103","Grand-Mère",2,21,45,58,17,6,149,329
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 104","Grand-Mère",1,21,49,60,11,1,143,309
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 105","Grand-Mère",0,22,44,34,13,5,118,289
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 106","Grand-Mère",3,52,64,75,24,4,222,403
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 107","Grand-Mère",2,43,52,50,17,4,168,274
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 108","Grand-Mère",3,50,51,81,14,5,204,448
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 109","Grand-Mère",4,42,72,79,21,6,224,385
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 110","Grand-Mère",1,36,52,51,24,4,168,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 111","Grand-Mère",6,33,40,48,6,1,134,382
