Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvon Breton,Nicole Demers,Jocelyne Leduc,Robert Malo,Eva Nassif,José Nunez-Melo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,Laval/Laval,111,Laval,0,34,2,32,52,83,3,206,380
24032,Laval/Laval,112,Laval,0,31,1,9,22,63,5,131,349
24032,Laval/Laval,113,Laval,0,41,4,28,38,128,2,241,467
24032,Laval/Laval,114,Laval,0,58,2,15,18,109,2,204,479
24032,Laval/Laval,115,Laval,0,42,2,12,15,63,2,136,328
24032,Laval/Laval,116,Laval,1,57,7,11,19,113,2,210,453
24032,Laval/Laval,117,Laval,0,51,5,13,26,92,5,192,383
24032,Laval/Laval,118,Laval,3,39,3,23,18,80,2,168,273
24032,Laval/Laval,119,Laval,2,35,5,21,28,98,2,191,426
24032,Laval/Laval,120,Laval,2,51,2,21,35,93,6,210,310
24032,Laval/Laval,121,Laval,0,53,3,24,41,108,0,229,346
24032,Laval/Laval,122,Laval,0,42,4,22,32,61,7,168,331
24032,Laval/Laval,123,Laval,1,56,3,34,29,66,2,191,312
24032,Laval/Laval,124,Laval,2,41,2,27,43,72,0,187,367
24032,Laval/Laval,125,Laval,1,31,3,13,21,74,1,144,342
24032,Laval/Laval,126,Laval,3,28,3,16,45,98,4,197,386
24032,Laval/Laval,127,Laval,0,39,3,15,31,68,1,157,369
24032,Laval/Laval,128,Laval,0,31,1,16,35,70,0,153,310
24032,Laval/Laval,129,Laval,0,43,5,17,33,76,12,186,364
24032,Laval/Laval,130,Laval,0,31,3,16,42,76,2,170,333
24032,Laval/Laval,131,Laval,0,42,6,14,18,76,2,158,428
24032,Laval/Laval,132,Laval,0,42,6,17,22,86,4,177,460
24032,Laval/Laval,133,Laval,2,41,5,13,20,79,2,162,375
24032,Laval/Laval,134,Laval,0,35,8,14,35,89,2,183,331
24032,Laval/Laval,135,Laval,0,17,1,11,7,64,4,104,220
24032,Laval/Laval,136,Laval,1,57,5,12,15,96,1,187,374
24032,Laval/Laval,137,Laval,0,69,7,15,20,103,4,218,422
24032,Laval/Laval,138,Laval,0,61,4,23,25,78,2,193,338
24032,Laval/Laval,139,Laval,0,36,5,17,14,54,3,129,282
24032,Laval/Laval,140,Laval,3,44,4,22,34,97,3,207,381
24032,Laval/Laval,141,Laval,1,44,4,21,38,102,1,211,379
24032,Laval/Laval,142,Laval,2,57,2,23,41,84,4,213,373
24032,Laval/Laval,143,Laval,0,38,2,19,17,73,1,150,405
24032,Laval/Laval,144,Laval,0,17,0,17,14,36,0,84,151
24032,Laval/Laval,145,Laval,1,72,5,32,48,127,4,289,520
24032,Laval/Laval,146,Laval,0,33,1,14,32,65,2,147,366
24032,Laval/Laval,147,Laval,0,37,3,7,24,59,2,132,402
24032,Laval/Laval,148,Laval,0,41,1,9,25,56,1,133,372
24032,Laval/Laval,149,Laval,0,68,2,13,19,104,1,207,352
24032,Laval/Laval,150,Laval,0,52,4,40,39,87,1,223,367
24032,Laval/Laval,151,Laval,0,27,1,13,26,60,1,128,331
24032,Laval/Laval,152,Laval,0,58,3,20,32,102,6,221,394
24032,Laval/Laval,153,Laval,0,61,4,12,23,100,4,204,388
24032,Laval/Laval,154,Laval,1,88,4,32,60,127,6,318,528
24032,Laval/Laval,155,Laval,0,73,4,19,18,94,3,211,428
