Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melanie Deveau,Alishia Fox,Lisa Lumley,Brian Masse,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Windsor West/Windsor-Ouest"," 185","Windsor",24,7,77,110,0,1,219,365
35102,"Windsor West/Windsor-Ouest"," 186","Windsor",18,9,87,103,0,1,218,361
35102,"Windsor West/Windsor-Ouest"," 187","Windsor",15,4,48,75,1,1,144,299
35102,"Windsor West/Windsor-Ouest"," 188","Windsor",26,4,96,99,0,1,226,473
35102,"Windsor West/Windsor-Ouest"," 189","Windsor",26,6,82,59,1,0,174,305
35102,"Windsor West/Windsor-Ouest"," 190","Windsor",25,3,95,98,0,0,221,435
35102,"Windsor West/Windsor-Ouest"," 191","Windsor",21,4,62,67,0,1,155,345
35102,"Windsor West/Windsor-Ouest"," 192","Windsor",25,5,63,77,1,2,173,318
35102,"Windsor West/Windsor-Ouest"," 193","Windsor",18,4,76,117,3,0,218,413
35102,"Windsor West/Windsor-Ouest"," 194","Windsor",18,8,67,84,0,1,178,341
35102,"Windsor West/Windsor-Ouest"," 195","Windsor",24,6,106,136,1,1,274,523
35102,"Windsor West/Windsor-Ouest"," 196","Windsor",28,6,102,105,2,0,243,569
35102,"Windsor West/Windsor-Ouest"," 197","Windsor",26,4,74,110,0,1,215,513
35102,"Windsor West/Windsor-Ouest"," 198","Windsor",12,3,76,96,1,0,188,538
35102,"Windsor West/Windsor-Ouest"," 199","Windsor",11,1,73,108,0,2,195,542
35102,"Windsor West/Windsor-Ouest"," 199-1","Windsor",23,2,88,103,2,0,218,612
35102,"Windsor West/Windsor-Ouest"," 199-2","Windsor",14,2,40,78,1,0,135,318
35102,"Windsor West/Windsor-Ouest"," 199-3","Windsor",17,2,99,135,0,2,255,674
35102,"Windsor West/Windsor-Ouest"," 199-4","Windsor",7,3,46,73,0,0,129,420
35102,"Windsor West/Windsor-Ouest"," 200","Windsor",24,5,39,51,1,1,121,331
35102,"Windsor West/Windsor-Ouest"," 201","Windsor",48,5,115,69,1,2,240,485
35102,"Windsor West/Windsor-Ouest"," 202","Windsor",39,4,165,77,1,0,286,617
35102,"Windsor West/Windsor-Ouest"," 203","Windsor",33,7,129,125,1,0,295,574
35102,"Windsor West/Windsor-Ouest"," 204","Windsor",10,2,90,79,0,0,181,377
35102,"Windsor West/Windsor-Ouest"," 205","Windsor",19,4,77,114,0,0,214,518
35102,"Windsor West/Windsor-Ouest"," 205-1","Windsor",22,3,119,60,1,1,206,503
35102,"Windsor West/Windsor-Ouest"," 400","Windsor",4,2,15,28,0,0,49,221
35102,"Windsor West/Windsor-Ouest"," 401","Windsor",11,1,20,46,1,3,82,145
35102,"Windsor West/Windsor-Ouest"," 402","Windsor",19,1,49,48,1,1,119,190
35102,"Windsor West/Windsor-Ouest"," 403","Windsor",11,9,42,58,0,0,120,246
35102,"Windsor West/Windsor-Ouest"," 404","Windsor",13,2,15,40,1,1,72,149
35102,"Windsor West/Windsor-Ouest"," 405","Windsor",Void/Supprimé,,,,,,,
35102,"Windsor West/Windsor-Ouest"," 406","Windsor",24,0,34,75,2,11,146,284
35102,"Windsor West/Windsor-Ouest"," 407","Windsor",22,5,48,40,0,0,115,186
35102,"Windsor West/Windsor-Ouest"," 408","Windsor",19,3,27,87,1,3,140,264
35102,"Windsor West/Windsor-Ouest"," 409","Windsor",27,6,30,101,2,9,175,329
35102,"Windsor West/Windsor-Ouest"," 500","Mobile poll/Bureau itinérant",11,4,24,31,0,5,75,92
35102,"Windsor West/Windsor-Ouest"," 501","Mobile poll/Bureau itinérant",12,2,15,35,5,3,72,189
35102,"Windsor West/Windsor-Ouest"," 502","Mobile poll/Bureau itinérant",14,1,13,46,0,1,75,160
35102,"Windsor West/Windsor-Ouest"," 503","Mobile poll/Bureau itinérant",15,4,34,44,0,1,98,159
35102,"Windsor West/Windsor-Ouest"," 600","Windsor",32,9,71,121,1,3,237,
35102,"Windsor West/Windsor-Ouest"," 601","Windsor",38,14,82,182,0,6,322,
35102,"Windsor West/Windsor-Ouest"," 602","Windsor",38,4,96,264,4,1,407,
35102,"Windsor West/Windsor-Ouest"," 603","Windsor",19,10,67,164,0,4,264,
35102,"Windsor West/Windsor-Ouest"," 604","Windsor",62,10,117,182,0,0,371,
35102,"Windsor West/Windsor-Ouest"," 605","Windsor",46,8,184,242,0,3,483,
35102,"Windsor West/Windsor-Ouest"," 606","Windsor",52,12,125,206,0,4,399,
35102,"Windsor West/Windsor-Ouest"," 607","Windsor",95,15,306,349,0,2,767,
35102,"Windsor West/Windsor-Ouest"," 608","Windsor",74,19,282,268,2,0,645,
35102,"Windsor West/Windsor-Ouest"," 609","Windsor",33,8,107,185,2,2,337,
35102,"Windsor West/Windsor-Ouest"," 610","Windsor",71,11,262,218,2,2,566,
35102,"Windsor West/Windsor-Ouest",,Group 1/Groupe 1,50,8,52,37,1,9,157,262
35102,"Windsor West/Windsor-Ouest",,Group 2/Groupe 2,60,12,114,221,2,16,425,
