Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Patrick Larkin,Michael McMahon,Andrew Skinner,Peter Tinsley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 38","Eldorado",1,167,12,62,1,34,1,278,530
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 39","Eldorado",1,111,5,24,0,19,0,160,322
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 40","Eldorado",1,139,8,50,1,27,0,226,462
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 41","Eldorado",1,127,3,55,1,28,0,215,535
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 42","Madoc",0,111,5,37,0,32,1,186,436
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 43","Madoc",0,75,3,37,0,12,0,127,337
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 44","Madoc",1,79,6,38,0,23,0,147,332
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 45","Madoc",1,131,6,47,0,44,1,230,563
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 46","Rawdon",1,89,6,46,1,13,0,156,255
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 47","Rawdon",0,127,4,55,2,15,0,203,334
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 48","Rawdon",0,164,10,58,1,20,0,253,399
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 49","Rawdon",0,152,9,44,0,38,0,243,467
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 50","Rawdon",1,123,2,34,0,17,1,178,290
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 51","Rawdon",1,143,7,63,0,41,2,257,495
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 52","Stirling",1,99,6,47,0,28,0,181,403
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 53","Stirling",3,111,6,42,1,24,2,189,359
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 54","Stirling",2,98,7,34,1,16,0,158,342
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 55","Stirling",1,102,7,51,0,33,0,194,373
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 56","Actinolite",1,102,18,65,0,30,1,217,464
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 57","Hungerford",1,71,6,43,1,26,5,153,328
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 58","Hungerford",2,109,6,62,0,29,1,209,433
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 59","Tweed",1,102,6,61,1,21,3,195,515
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 60","Tweed",1,84,8,41,1,15,0,150,315
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 61A","Tweed",0,77,4,41,0,23,2,147,337
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 61B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,123
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 62","Hungerford",2,137,6,61,0,42,2,250,538
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 63","Hungerford",2,143,18,73,0,27,0,263,519
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 64","Hungerford",2,131,14,75,0,26,0,248,456
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 65","Thomasburg",1,136,9,86,2,28,0,262,494
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 66","Huntingdon",2,130,4,38,2,17,1,194,324
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 67","Huntingdon",0,111,10,42,0,16,0,179,313
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 68","Thomasburg",1,198,8,123,1,49,0,380,612
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 69","Huntingdon",3,116,9,43,0,32,0,203,354
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 70","Belleville",0,134,5,42,1,33,0,215,426
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 71","Belleville",0,174,6,62,0,47,0,289,616
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 72","Belleville",1,75,6,33,0,17,0,132,255
