Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvie Boucher,Lorraine Chartier,Raymond Côté,Louise Courville,Anne-Marie Genest,Michel Létourneau,Claude Moreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauport--Limoilou/Beauport--Limoilou"," 603","Québec",207,38,276,11,2,158,1,6,699,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 604","Québec",166,24,214,5,0,129,0,5,543,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 605","Québec",172,23,183,1,0,108,1,4,492,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 606","Québec",204,37,241,2,2,139,0,5,630,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 607","Québec",157,31,183,1,2,93,0,5,472,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 608","Québec",154,31,180,8,2,74,0,2,451,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 609","Québec",78,17,92,3,0,48,0,7,245,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 610","Québec",171,38,182,14,1,111,1,11,529,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 611","Québec",63,43,180,11,0,159,1,3,460,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 612","Québec",79,29,139,7,2,98,0,3,357,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 613","Québec",91,17,135,4,0,97,2,4,350,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 614","Québec",154,44,205,5,1,115,2,6,532,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 615","Québec",73,38,152,4,0,102,0,3,372,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 616","Québec",113,40,207,9,1,102,4,5,481,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 617","Québec",111,29,154,5,1,78,2,6,386,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 618","Québec",72,23,138,4,0,136,0,8,381,
24007,"Beauport--Limoilou/Beauport--Limoilou"," 619","Québec",88,20,156,11,1,91,1,4,372,
24007,"Beauport--Limoilou/Beauport--Limoilou",,Group 1/Groupe 1,126,29,36,3,2,47,0,13,256,486
24007,"Beauport--Limoilou/Beauport--Limoilou",,Group 2/Groupe 2,225,74,193,12,1,278,2,27,812,
