Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Geddes,Mark Ireland,Kevin Kim,Stewart McGillivray,James Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 158","Port Coquitlam",6,94,12,15,108,0,235,498
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 159","Port Coquitlam",3,96,17,12,152,3,283,469
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 160","Port Coquitlam",3,92,19,25,113,3,255,514
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 161","Port Coquitlam",0,93,19,14,162,0,288,485
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 162","Port Coquitlam",4,101,15,12,109,1,242,465
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 163","Port Coquitlam",2,65,17,5,100,1,190,374
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 164","Port Coquitlam",0,61,6,10,156,1,234,413
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 165","Port Coquitlam",2,80,9,17,174,0,282,509
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 166","Port Coquitlam",2,61,7,26,149,0,245,467
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 167","Port Coquitlam",3,97,11,15,133,0,259,503
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 167-1","Port Coquitlam",0,19,5,7,72,0,103,222
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 168","Port Coquitlam",1,54,7,11,114,1,188,339
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 169","Port Coquitlam",1,63,7,23,231,0,325,554
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 170","Port Coquitlam",0,85,7,22,178,2,294,470
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 171","Port Coquitlam",1,87,10,26,179,0,303,486
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 172","Port Coquitlam",1,59,9,12,154,0,235,435
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 173","Port Coquitlam",2,41,7,15,77,1,143,308
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 174","Port Coquitlam",1,57,6,28,175,0,267,473
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 175","Port Coquitlam",3,54,5,30,220,0,312,555
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 400A","Mobile poll/Bureau itinérant",1,18,0,11,24,0,54,100
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 400B","Mobile poll/Bureau itinérant",Merged with No. 400A/Fusionné avec le nº 400A,,,,,,,5
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 500","Mobile poll/Bureau itinérant",3,21,4,7,30,1,66,91
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 501","Mobile poll/Bureau itinérant",0,9,2,4,13,0,28,65
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 502","Mobile poll/Bureau itinérant",0,21,3,7,28,0,59,73
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 600","Port Moody",3,118,22,69,450,5,667,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 601","Coquitlam",5,151,15,49,315,0,535,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 602","Coquitlam",7,123,33,60,393,1,617,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 603","Coquitlam",6,88,16,66,333,3,512,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 604","Coquitlam--Port Coquitlam",5,148,16,65,279,1,514,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 605","Port Coquitlam",1,177,21,43,261,2,505,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 606","Port Coquitlam",2,114,15,30,218,1,380,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 607","Port Coquitlam",0,99,18,33,226,1,377,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 608","Port Coquitlam",4,124,16,25,227,0,396,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 609","Port Moody--Coquitlam",2,161,38,77,355,0,633,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 610","Coquitlam",4,86,16,54,322,0,482,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 611","Port Coquitlam",2,83,7,26,260,1,379,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam",,Group 1/Groupe 1,1,20,9,22,41,5,98,147
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam",,Group 2/Groupe 2,4,132,38,80,323,13,590,
