Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johany Beaudoin-Bussières,Jean-Guy Dagenais,Marie-Claude Morin,Ève-Mary Thaï Thi Lac,Denis Vallée,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 160","Saint-Hyacinthe-le-Confesseur",6,45,161,42,10,3,267,458
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 161","Notre-Dame-de-Saint-Hyacinthe",2,59,123,64,13,6,267,423
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162","Notre-Dame-de-Saint-Hyacinthe",0,35,109,49,10,1,204,312
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162-1","Saint-Pie",7,24,137,66,11,9,254,412
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 163","Saint-Pie",9,41,140,68,9,7,274,455
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164","Saint-Pie",2,19,121,38,8,1,189,327
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164-1","Saint-Pie",8,26,178,69,17,4,302,504
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 165","Saint-Pie",4,21,110,56,7,3,201,394
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 166","Saint-Pie",3,33,125,56,16,3,236,355
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 167","Saint-Pie",5,25,126,49,6,1,212,358
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 167-1","Saint-Pie",4,8,91,39,14,3,159,249
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168","Saint-Pie",5,31,110,82,19,1,248,429
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168-1","Saint-Pie",3,17,89,29,6,2,146,281
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 169","Saint-Pie",5,13,118,34,9,4,183,299
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 170","Saint-Valérien-de-Milton",3,39,143,63,18,2,268,458
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 171","Saint-Valérien-de-Milton",6,40,108,42,14,3,213,365
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 172","Saint-Valérien-de-Milton",6,51,167,59,15,2,300,478
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 173","Roxton Falls",3,19,102,43,7,4,178,349
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 174","Roxton Falls",3,25,109,44,3,3,187,386
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 175","Roxton Falls",3,49,81,32,7,5,177,390
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 176","Roxton",6,54,135,44,10,2,251,443
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 177","Roxton",11,44,108,40,8,4,215,404
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 178","Béthanie",4,34,90,41,9,1,179,279
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 400","Saint-Hyacinthe",1,14,26,17,9,6,73,379
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 401","Saint-Hyacinthe",4,43,37,36,21,5,146,208
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 402","Saint-Hyacinthe",4,35,27,28,19,11,124,160
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 500","Mobile poll/Bureau itinérant",3,29,16,15,6,3,72,146
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 501","Mobile poll/Bureau itinérant",2,27,18,17,6,1,71,133
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 502","Mobile poll/Bureau itinérant",0,33,22,15,22,4,96,151
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 503","Mobile poll/Bureau itinérant",5,35,55,15,14,2,126,178
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 504","Mobile poll/Bureau itinérant",5,25,36,12,17,1,96,129
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 505","Mobile poll/Bureau itinérant",2,24,20,19,16,4,85,131
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 506","Mobile poll/Bureau itinérant",1,17,13,13,18,2,64,109
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 507","Mobile poll/Bureau itinérant",2,5,27,17,5,4,60,157
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 508","Mobile poll/Bureau itinérant",2,41,19,9,17,2,90,125
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 600","Saint-Hugues",3,30,75,70,12,3,193,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 601","Saint-Théodore-d'Acton--Sainte-Hélène-de-Bagot",3,28,52,25,3,1,112,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 602","Acton Vale",13,120,259,143,30,5,570,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 603","Saint-Liboire--Upton",6,36,92,63,14,2,213,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 604","Sainte-Rosalie--Saint-Simon",8,103,224,127,38,6,506,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 605","Saint-Hyacinthe",4,116,294,187,37,7,645,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 606","Saint-Hyacinthe",9,155,282,225,72,8,751,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 607","Saint-Hyacinthe",5,67,119,88,16,5,300,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 608","Saint-Hyacinthe",11,127,236,157,49,8,588,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 609","Saint-Thomas-d'Aquin--La Présentation",2,115,230,123,26,4,500,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 610","Sainte-Madeleine--Saint-Damase",6,52,222,116,31,5,432,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 611","Saint-Dominique--Saint-Pie",2,29,140,83,15,4,273,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 612","Saint-Valérien-de-Milton--Roxton Falls",2,37,93,55,12,0,199,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 613","Saint-Hyacinthe",4,45,114,64,17,2,246,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 614","Saint-Hyacinthe",7,45,113,109,15,0,289,
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 1/Groupe 1,7,34,24,32,12,3,112,169
24063,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 2/Groupe 2,11,116,179,203,79,19,607,
