Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Maureen Harquail,John Kittredge,Jim McGarva,William Molls,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"St. Paul's/St. Paul's"," 182","Toronto",88,72,0,5,31,1,197,344
35077,"St. Paul's/St. Paul's"," 183","Toronto",90,35,1,17,97,2,242,410
35077,"St. Paul's/St. Paul's"," 184","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 185","Toronto",113,45,2,22,54,0,236,372
35077,"St. Paul's/St. Paul's"," 186","Toronto",77,35,0,14,73,2,201,380
35077,"St. Paul's/St. Paul's"," 187","Toronto",52,22,5,11,66,0,156,310
35077,"St. Paul's/St. Paul's"," 188","Toronto",32,13,1,5,34,0,85,235
35077,"St. Paul's/St. Paul's"," 189","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 190","Toronto",77,34,3,8,113,0,235,414
35077,"St. Paul's/St. Paul's"," 190-1","Toronto",118,60,0,5,51,2,236,301
35077,"St. Paul's/St. Paul's"," 191","Toronto",68,37,1,5,169,2,282,529
35077,"St. Paul's/St. Paul's"," 192","Toronto",34,19,1,7,52,2,115,233
35077,"St. Paul's/St. Paul's"," 193","Toronto",145,62,0,14,58,1,280,432
35077,"St. Paul's/St. Paul's"," 194","Toronto",82,27,0,14,77,1,201,366
35077,"St. Paul's/St. Paul's"," 195","Toronto",83,32,1,21,80,0,217,337
35077,"St. Paul's/St. Paul's"," 196","Toronto",72,30,1,13,73,1,190,317
35077,"St. Paul's/St. Paul's"," 197","Toronto",75,25,0,21,68,0,189,326
35077,"St. Paul's/St. Paul's"," 198","Toronto",114,52,7,8,116,7,304,423
35077,"St. Paul's/St. Paul's"," 199","Toronto",43,22,0,10,41,0,116,246
35077,"St. Paul's/St. Paul's"," 199-1","Toronto",51,51,0,22,76,1,201,397
35077,"St. Paul's/St. Paul's"," 400","Toronto",28,28,1,6,27,2,92,224
35077,"St. Paul's/St. Paul's"," 401","Toronto",36,28,0,10,28,0,102,219
35077,"St. Paul's/St. Paul's"," 402","Toronto",97,60,5,16,79,1,258,469
35077,"St. Paul's/St. Paul's"," 403","Toronto",72,50,0,14,65,1,202,302
35077,"St. Paul's/St. Paul's"," 404","Toronto",62,32,1,14,66,0,175,362
35077,"St. Paul's/St. Paul's"," 405","Toronto",47,40,1,9,45,1,143,285
35077,"St. Paul's/St. Paul's"," 406","Toronto",42,25,1,6,31,0,105,276
35077,"St. Paul's/St. Paul's"," 407","Toronto",39,48,0,11,70,0,168,368
35077,"St. Paul's/St. Paul's"," 408","Toronto",71,40,0,7,45,0,163,336
35077,"St. Paul's/St. Paul's"," 409","Toronto",106,66,3,11,91,0,277,460
35077,"St. Paul's/St. Paul's"," 410","Toronto",71,48,0,8,37,2,166,292
35077,"St. Paul's/St. Paul's"," 411","Toronto",138,95,1,7,43,1,285,439
35077,"St. Paul's/St. Paul's"," 412","Toronto",44,52,0,3,7,0,106,187
35077,"St. Paul's/St. Paul's"," 413","Toronto",126,159,1,10,50,0,346,622
35077,"St. Paul's/St. Paul's"," 414","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 415","Toronto",46,35,0,6,28,0,115,235
35077,"St. Paul's/St. Paul's"," 416","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 417","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 418","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 419","Toronto",29,29,3,1,29,2,93,245
35077,"St. Paul's/St. Paul's"," 500","Mobile poll/Bureau itinérant",23,17,2,1,10,3,56,122
35077,"St. Paul's/St. Paul's"," 600","Toronto",165,128,4,15,96,4,412,
35077,"St. Paul's/St. Paul's"," 601","Toronto",191,206,1,10,44,1,453,
35077,"St. Paul's/St. Paul's"," 602","Toronto",232,73,3,32,134,3,477,
35077,"St. Paul's/St. Paul's"," 603","Toronto",193,177,1,15,35,1,422,
35077,"St. Paul's/St. Paul's"," 604","Toronto",231,368,1,19,42,2,663,
35077,"St. Paul's/St. Paul's"," 605","Toronto",431,265,4,23,82,0,805,
35077,"St. Paul's/St. Paul's"," 606","Toronto",301,149,3,17,66,3,539,
35077,"St. Paul's/St. Paul's"," 607","Toronto",431,211,3,34,55,0,734,
35077,"St. Paul's/St. Paul's"," 608","Toronto",322,164,3,25,87,1,602,
35077,"St. Paul's/St. Paul's"," 609","Toronto",284,207,0,23,39,0,553,
35077,"St. Paul's/St. Paul's"," 610","York",297,226,5,22,70,0,620,
35077,"St. Paul's/St. Paul's"," 611","York",303,86,2,40,154,4,589,
35077,"St. Paul's/St. Paul's"," 612","York",286,288,0,20,48,2,644,
35077,"St. Paul's/St. Paul's"," 613","York",188,81,6,29,115,2,421,
35077,"St. Paul's/St. Paul's"," 614","York",365,274,4,33,142,4,822,
35077,"St. Paul's/St. Paul's"," 615","York",97,49,1,9,18,1,175,
35077,"St. Paul's/St. Paul's",,Group 1/Groupe 1,68,35,2,4,12,5,126,221
35077,"St. Paul's/St. Paul's",,Group 2/Groupe 2,466,257,5,41,125,15,909,
