Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Albert Ashley,Lorne Bruce,Bob Rosehart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",54,5,64,38,1,162,410
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",52,10,72,33,0,167,434
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",36,9,25,26,0,96,258
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",57,15,48,36,0,156,478
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",129,12,54,39,0,234,414
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",92,9,77,30,0,208,422
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",93,12,54,50,1,210,398
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 116","Kitchener",53,11,80,31,0,175,459
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",95,9,55,34,0,193,337
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",59,6,49,25,0,139,354
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 119","Kitchener",75,6,56,42,0,179,366
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 120","Kitchener",82,8,92,38,2,222,529
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 121","Kitchener",113,15,48,59,1,236,379
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",71,8,57,37,1,174,372
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",68,12,70,29,1,180,384
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",104,8,73,32,3,220,406
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",104,10,57,24,1,196,353
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",90,6,45,27,0,168,395
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",93,8,65,28,1,195,409
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",46,5,52,22,0,125,369
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",63,2,53,17,0,135,336
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",54,13,57,29,3,156,405
