Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bélisle,Jean Dorion,Kévan Falsafi,Pierre Nantel,Serge Patenaude,Valérie St-Amant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 193","Longueuil",3,43,16,77,0,4,1,144,340
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 400","Longueuil",16,38,8,45,0,2,1,110,149
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 401","Longueuil",40,60,59,88,0,2,4,253,307
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 402","Longueuil",21,31,13,59,0,4,4,132,161
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 403","Longueuil",28,29,14,64,0,4,6,145,174
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 404","Longueuil",44,55,26,94,0,4,10,233,281
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 500","Mobile poll/Bureau itinérant",31,29,72,38,2,3,7,182,193
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 501","Mobile poll/Bureau itinérant",7,4,4,7,1,1,3,27,30
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 502","Mobile poll/Bureau itinérant",4,5,6,12,0,0,1,28,62
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 600","Boucherville",77,238,106,393,1,19,6,840,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 601","Boucherville",48,157,82,306,0,3,8,604,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 602","Longueuil",55,198,75,255,3,12,12,610,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 603","Longueuil",100,259,97,360,2,7,6,831,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 604","Longueuil",97,245,116,352,2,16,10,838,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 605","Longueuil",56,209,52,254,2,4,5,582,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 606","Longueuil",78,246,59,389,2,14,8,796,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 607","Longueuil",87,306,106,334,2,9,10,854,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 608","Longueuil",65,261,67,253,0,9,4,659,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 609","Longueuil",61,247,56,358,2,9,11,744,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 610","Boucherville",79,159,86,294,1,18,3,640,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 611","Longueuil",55,194,103,307,1,8,1,669,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 612","Longueuil",54,211,49,251,0,13,6,584,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher",,Group 1/Groupe 1,34,22,24,26,1,4,6,117,211
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher",,Group 2/Groupe 2,57,254,78,224,2,19,4,638,
