Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Lyndon B. Froese,Matt Henderson,Dennis Lewycky,Joshua McNeil,Anita Neville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 111A","Winnipeg",Merged with No. 112/Fusionné avec le nº 112,,,,,,,,213
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 111B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,47
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 112","Winnipeg",106,0,1,57,9,72,1,246,319
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 113","Winnipeg",73,0,1,51,4,46,0,175,400
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 114","Winnipeg",71,0,2,77,16,47,1,214,464
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 115","Winnipeg",68,1,1,45,11,52,1,179,349
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 116","Winnipeg",64,0,1,66,6,64,1,202,328
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 117","Winnipeg",63,1,2,75,16,128,3,288,471
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 118","Winnipeg",77,0,3,66,8,103,0,257,391
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 119","Winnipeg",55,0,0,76,9,61,0,201,375
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 120","Winnipeg",62,2,5,82,9,59,2,221,429
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 121","Winnipeg",29,0,2,77,9,77,1,195,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 122","Winnipeg",120,1,2,61,9,93,1,287,393
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 123","Winnipeg",58,1,3,75,15,46,1,199,378
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 124","Winnipeg",55,0,0,70,14,43,2,184,376
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 125","Winnipeg",67,0,0,98,12,85,0,262,448
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 126","Winnipeg",78,0,4,69,4,112,0,267,406
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 127","Winnipeg",52,0,1,82,12,80,0,227,434
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 128","Winnipeg",74,0,4,102,13,70,0,263,494
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 129","Winnipeg",65,0,1,67,11,89,2,235,426
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 130","Winnipeg",90,0,1,52,8,97,0,248,371
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 131","Winnipeg",124,1,2,54,9,73,1,264,397
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 132","Winnipeg",87,1,1,45,7,34,0,175,285
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 133","Winnipeg",116,2,2,45,12,31,1,209,353
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 134","Winnipeg",92,1,1,54,17,59,0,224,352
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 135","Winnipeg",103,1,1,75,7,66,0,253,417
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 136","Winnipeg",73,1,1,56,1,36,0,168,366
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 137","Winnipeg",101,0,1,49,2,38,0,191,340
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 138","Winnipeg",84,0,0,49,8,21,0,162,337
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 139","Winnipeg",120,1,2,47,5,38,1,214,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 140","Winnipeg",107,1,2,29,4,37,0,180,343
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 141","Winnipeg",72,0,0,39,3,57,0,171,323
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 142","Winnipeg",84,0,0,51,7,58,1,201,305
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 143","Winnipeg",94,0,1,78,10,86,0,269,443
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 144","Winnipeg",110,0,2,36,7,94,0,249,389
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 145","Winnipeg",89,0,2,49,9,116,0,265,406
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146","Winnipeg",77,0,3,33,8,77,0,198,292
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 147","Winnipeg",105,2,1,39,5,78,1,231,394
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 148","Winnipeg",90,1,0,53,10,65,0,219,395
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 149","Winnipeg",120,0,4,45,13,87,1,270,410
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 150","Winnipeg",75,0,0,34,5,46,0,160,325
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 151","Winnipeg",75,0,1,54,8,88,0,226,380
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 152","Winnipeg",46,1,1,57,6,41,1,153,334
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 500","Mobile poll/Bureau itinérant",31,4,3,11,2,39,9,99,160
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 501","Mobile poll/Bureau itinérant",75,1,1,26,1,38,0,142,188
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 502","Mobile poll/Bureau itinérant",73,2,5,26,4,48,1,159,237
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 503","Mobile poll/Bureau itinérant",23,0,4,16,0,10,3,56,91
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 504","Mobile poll/Bureau itinérant",57,0,2,33,1,27,1,121,203
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 505","Mobile poll/Bureau itinérant",58,7,7,41,4,54,2,173,246
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 506","Mobile poll/Bureau itinérant",115,2,2,29,1,55,3,207,197
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 600","Winnipeg",525,2,1,60,9,381,3,981,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 601","Winnipeg",296,1,2,63,11,367,1,741,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 602","Winnipeg",299,0,4,50,20,431,4,808,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 603","Winnipeg",258,0,3,106,28,429,8,832,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 604","Winnipeg",183,0,0,125,23,290,2,623,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 605","Winnipeg",271,4,2,94,18,267,3,659,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 606","Winnipeg",199,0,2,120,22,222,2,567,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 607","Winnipeg",323,2,11,93,22,270,0,721,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 1/Groupe 1,95,1,2,20,3,62,11,194,339
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 2/Groupe 2,350,2,4,140,39,482,11,1028,
