Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorraine Banville,Guillaume Berger-Richard,Carl Dubois,Hélène LeBlanc,Yves Le Seigle,Chang-Tao Jimmy Yu,Lise Zarac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"LaSalle--Émard/LaSalle--Émard"," 119","LaSalle",4,0,30,97,0,25,56,1,213,385
24029,"LaSalle--Émard/LaSalle--Émard"," 120","LaSalle",3,0,28,69,0,25,29,0,154,292
24029,"LaSalle--Émard/LaSalle--Émard"," 121","LaSalle",5,2,43,88,1,14,24,1,178,336
24029,"LaSalle--Émard/LaSalle--Émard"," 122","LaSalle",5,0,31,93,0,17,28,2,176,343
24029,"LaSalle--Émard/LaSalle--Émard"," 123","LaSalle",9,0,19,62,1,23,46,3,163,379
24029,"LaSalle--Émard/LaSalle--Émard"," 124","LaSalle",4,2,56,109,1,11,46,0,229,377
24029,"LaSalle--Émard/LaSalle--Émard"," 125","LaSalle",8,0,55,112,0,27,39,4,245,419
24029,"LaSalle--Émard/LaSalle--Émard"," 126","LaSalle",4,1,30,99,0,13,32,2,181,407
24029,"LaSalle--Émard/LaSalle--Émard"," 127","LaSalle",3,0,19,65,0,27,36,2,152,463
24029,"LaSalle--Émard/LaSalle--Émard"," 128","LaSalle",5,0,21,61,1,34,56,2,180,480
24029,"LaSalle--Émard/LaSalle--Émard"," 129","LaSalle",4,0,5,48,1,34,48,0,140,302
24029,"LaSalle--Émard/LaSalle--Émard"," 130","LaSalle",4,0,8,69,0,34,69,0,184,356
24029,"LaSalle--Émard/LaSalle--Émard"," 131","LaSalle",6,0,18,60,0,33,75,4,196,361
24029,"LaSalle--Émard/LaSalle--Émard"," 132","LaSalle",1,0,15,92,1,36,60,3,208,371
24029,"LaSalle--Émard/LaSalle--Émard"," 133","LaSalle",6,0,7,38,1,14,52,0,118,228
24029,"LaSalle--Émard/LaSalle--Émard"," 134","LaSalle",3,0,9,66,1,25,48,4,156,352
24029,"LaSalle--Émard/LaSalle--Émard"," 135","LaSalle",4,0,19,78,2,26,35,0,164,385
