Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judi Falardeau,Philip Fernandez,Catherine Holliday,Ellen Michelson,Kevin Moore,Bob Rae,Susan Wallace,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,Toronto Centre/Toronto-Centre,51,Toronto,0,0,0,15,18,74,92,0,1,200,408
35093,Toronto Centre/Toronto-Centre,52,Toronto,1,0,1,10,34,85,99,0,0,230,420
35093,Toronto Centre/Toronto-Centre,53,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,54,Toronto,2,1,0,16,38,125,135,1,2,320,565
35093,Toronto Centre/Toronto-Centre,55,Toronto,4,0,1,16,24,74,100,0,1,220,341
35093,Toronto Centre/Toronto-Centre,56,Toronto,0,0,0,10,28,53,60,0,0,151,325
35093,Toronto Centre/Toronto-Centre,57,Toronto,1,0,0,13,38,94,89,0,1,236,454
35093,Toronto Centre/Toronto-Centre,58,Toronto,1,1,2,12,21,56,83,2,0,178,398
35093,Toronto Centre/Toronto-Centre,59,Toronto,0,1,0,11,31,99,145,0,1,288,457
35093,Toronto Centre/Toronto-Centre,60,Toronto,1,0,1,5,30,74,65,0,1,177,346
35093,Toronto Centre/Toronto-Centre,61,Toronto,0,0,0,12,28,98,123,0,0,261,444
35093,Toronto Centre/Toronto-Centre,62,Toronto,0,0,0,2,24,58,63,0,0,147,270
35093,Toronto Centre/Toronto-Centre,63,Toronto,2,0,0,0,10,26,33,0,0,71,175
35093,Toronto Centre/Toronto-Centre, 64A,Toronto,0,0,0,13,64,91,88,0,1,257,490
35093,Toronto Centre/Toronto-Centre, 64B,Toronto,3,0,0,12,46,88,74,0,1,224,387
35093,Toronto Centre/Toronto-Centre,65,Toronto,1,1,1,7,48,59,113,0,1,231,488
35093,Toronto Centre/Toronto-Centre, 65-1,Toronto,1,0,1,14,35,131,91,0,1,274,465
35093,Toronto Centre/Toronto-Centre,66,Toronto,0,0,0,3,66,68,33,0,0,170,342
35093,Toronto Centre/Toronto-Centre,67,Toronto,0,1,0,21,38,80,91,0,0,231,461
35093,Toronto Centre/Toronto-Centre,68,Toronto,1,0,0,12,13,65,93,0,0,184,387
35093,Toronto Centre/Toronto-Centre, 68-1A,Toronto,0,0,0,11,47,129,133,1,0,321,480
35093,Toronto Centre/Toronto-Centre, 68-1B,Toronto,2,0,0,12,48,134,117,0,0,313,629
35093,Toronto Centre/Toronto-Centre, 68-1C,Mobile poll/Bureau itinérant,Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,,,81
