Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Trevor Haché,Christian Legeais,Caroline Rioux,Rem Westland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Ottawa--Vanier/Ottawa--Vanier"," 608","Ottawa",264,190,6,62,105,3,630,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 609","Ottawa",292,166,2,44,110,1,615,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 610","Ottawa",170,84,1,13,134,1,403,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 611","Gloucester",149,87,0,10,172,3,421,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 612","Ottawa",221,150,1,44,108,1,525,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 613","Ottawa",174,116,1,24,99,1,415,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 614","Gloucester",270,81,0,23,222,2,598,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 615","Ottawa--Rockcliffe Park",248,90,0,47,95,3,483,
35065,"Ottawa--Vanier/Ottawa--Vanier",,Group 1/Groupe 1,314,72,4,51,187,23,651,1066
35065,"Ottawa--Vanier/Ottawa--Vanier",,Group 2/Groupe 2,662,263,4,83,348,17,1377,
