Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Luc Cooke,Ric Dagenais,Ryan Keon,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Nepean--Carleton/Nepean--Carleton"," 603","Nepean",24,108,187,504,2,825,
35052,"Nepean--Carleton/Nepean--Carleton"," 604","Nepean",17,83,217,408,1,726,
35052,"Nepean--Carleton/Nepean--Carleton"," 605","Nepean--Chapman Mills",16,95,244,403,1,759,
35052,"Nepean--Carleton/Nepean--Carleton"," 606","Nepean--Longfields",19,59,143,301,0,522,
35052,"Nepean--Carleton/Nepean--Carleton"," 607","Nepean--Barrhaven",35,91,244,578,6,954,
35052,"Nepean--Carleton/Nepean--Carleton"," 608","Nepean--Barrhaven",26,66,197,499,3,791,
35052,"Nepean--Carleton/Nepean--Carleton"," 609","Nepean--Barrhaven",26,87,213,437,2,765,
35052,"Nepean--Carleton/Nepean--Carleton"," 610","Nepean--Longfields",15,61,214,360,0,650,
35052,"Nepean--Carleton/Nepean--Carleton"," 611","Gloucester South",34,93,385,799,5,1316,
35052,"Nepean--Carleton/Nepean--Carleton"," 612","Osgoode--Greely",41,94,266,964,0,1365,
35052,"Nepean--Carleton/Nepean--Carleton"," 613","Osgoode--Greely",29,57,126,587,4,803,
35052,"Nepean--Carleton/Nepean--Carleton"," 614","Osgoode--Metcalfe",28,38,110,514,0,690,
35052,"Nepean--Carleton/Nepean--Carleton"," 615","Rideau--Manotik",53,64,242,547,1,907,
35052,"Nepean--Carleton/Nepean--Carleton"," 616","Rideau--North Gower",37,44,121,516,3,721,
35052,"Nepean--Carleton/Nepean--Carleton"," 617","Nepean--Longfields",24,90,249,522,0,885,
35052,"Nepean--Carleton/Nepean--Carleton"," 618","Nepean--Barrhaven",25,86,274,615,0,1000,
35052,"Nepean--Carleton/Nepean--Carleton"," 619","Gloucester South",11,78,185,360,3,637,
35052,"Nepean--Carleton/Nepean--Carleton"," 620","Nepean--Longfields",14,64,188,347,2,615,
35052,"Nepean--Carleton/Nepean--Carleton",,Group 1/Groupe 1,27,26,113,255,15,436,833
35052,"Nepean--Carleton/Nepean--Carleton",,Group 2/Groupe 2,27,59,276,377,9,748,
