Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Jean-Paul Bédard,Gaëtan Bérard,Valery Chevrefils-Latulippe,Gérard Labelle,Martin Laroche,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 96","Anjou",41,0,3,0,18,31,45,1,139,252
24022,"Honoré-Mercier/Honoré-Mercier"," 97","Anjou",85,3,4,0,50,50,49,2,243,395
24022,"Honoré-Mercier/Honoré-Mercier"," 98","Anjou",72,2,5,1,35,40,83,5,243,391
24022,"Honoré-Mercier/Honoré-Mercier"," 99","Anjou",81,0,1,0,12,38,64,1,197,344
24022,"Honoré-Mercier/Honoré-Mercier"," 100","Anjou",74,1,3,0,27,42,57,1,205,419
24022,"Honoré-Mercier/Honoré-Mercier"," 101","Anjou",60,1,0,1,9,28,23,1,123,332
24022,"Honoré-Mercier/Honoré-Mercier"," 102","Anjou",71,3,8,1,20,23,39,3,168,410
24022,"Honoré-Mercier/Honoré-Mercier"," 103","Anjou",100,1,3,2,32,26,40,3,207,405
24022,"Honoré-Mercier/Honoré-Mercier"," 104","Anjou",80,0,1,1,5,46,36,1,170,254
24022,"Honoré-Mercier/Honoré-Mercier"," 105A","Anjou",86,1,3,0,3,64,44,2,203,334
24022,"Honoré-Mercier/Honoré-Mercier"," 105B","Anjou",9,1,0,0,3,8,4,0,25,52
24022,"Honoré-Mercier/Honoré-Mercier"," 106","Anjou",90,1,3,1,11,37,41,3,187,330
24022,"Honoré-Mercier/Honoré-Mercier"," 107","Anjou",64,0,3,1,16,53,34,3,174,400
24022,"Honoré-Mercier/Honoré-Mercier"," 108","Anjou",86,1,1,4,16,59,32,4,203,421
24022,"Honoré-Mercier/Honoré-Mercier"," 109","Anjou",65,0,1,2,12,44,59,1,184,380
24022,"Honoré-Mercier/Honoré-Mercier"," 110","Montréal",104,0,3,2,10,72,46,0,237,448
24022,"Honoré-Mercier/Honoré-Mercier"," 111A","Montréal",75,0,6,0,19,61,37,0,198,301
24022,"Honoré-Mercier/Honoré-Mercier"," 111B","Montréal",98,0,0,0,20,49,39,1,207,332
24022,"Honoré-Mercier/Honoré-Mercier"," 112","Montréal",187,3,4,1,22,88,57,0,362,602
24022,"Honoré-Mercier/Honoré-Mercier"," 113","Montréal",65,0,2,0,12,37,27,6,149,320
24022,"Honoré-Mercier/Honoré-Mercier"," 114","Montréal",107,0,3,0,19,63,44,4,240,479
24022,"Honoré-Mercier/Honoré-Mercier"," 115","Montréal",67,0,8,3,13,80,20,0,191,423
24022,"Honoré-Mercier/Honoré-Mercier"," 116","Montréal",88,1,4,1,13,71,36,3,217,358
