Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Jordan LaPlante,Gerry Ritz,Glenn Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 111","Unity",3,2,79,20,2,106,190
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 112","Macklin",7,2,88,22,0,119,187
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 113","Macklin",8,5,262,36,0,311,611
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 114","Macklin",7,6,204,17,0,234,368
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 115","Reward",5,8,92,12,0,117,207
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 116","Swarthmore",4,3,104,25,0,136,248
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 117","Cando",0,1,58,99,0,158,457
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 118","Red Pheasant",0,6,1,80,0,87,225
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 119","Red Pheasant",Void/Supprimé,,,,,,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 120","Wilkie",3,9,110,21,1,144,244
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 121","Wilkie",3,8,150,57,0,218,437
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 122","Wilkie",1,8,81,39,0,129,249
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 123","Scott",4,4,119,32,0,159,363
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 124","Landis",4,2,98,69,0,173,258
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 125","Cactus Lake",4,2,126,11,1,144,225
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 126","Denzil",9,4,121,10,0,144,232
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 127","Luseland",Void/Supprimé,,,,,,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 128","Luseland",10,6,108,39,0,163,247
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 129","Luseland",13,10,148,38,0,209,337
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 130","Tramping Lake",9,0,75,21,0,105,166
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 131","Kelfield",8,3,106,20,0,137,268
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 132","Major",7,6,115,14,0,142,204
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 133","Kerrobert",6,5,101,14,1,127,241
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 134","Kerrobert",11,9,139,41,0,200,408
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 135","Kerrobert",6,9,78,25,0,118,208
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 136","Plenty",6,7,187,32,0,232,345
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 137","Dodsland",1,5,81,8,0,95,164
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 138","Coleville",4,5,145,24,1,179,330
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 139","Smiley",8,0,83,10,0,101,178
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 140","Marengo",8,1,95,22,0,126,183
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 141","Alsask",3,3,54,17,1,78,100
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 142","Flaxcombe",4,1,87,18,0,110,192
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 143","Kindersley",3,4,122,30,1,160,301
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 144","Brock",6,1,134,23,0,164,217
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 145","Kindersley",4,4,54,18,0,80,142
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 146","Kindersley",5,4,113,35,0,157,265
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 147","Kindersley",5,5,96,39,0,145,230
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 148","Kindersley",3,6,135,34,0,178,284
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 149","Kindersley",6,1,103,16,1,127,249
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 150","Kindersley",9,5,208,58,0,280,651
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 151","Kindersley",27,3,141,3,0,174,287
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 152","Kindersley",1,5,195,55,0,256,514
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 153","Kindersley",5,4,218,37,0,264,509
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 500","Mobile poll/Bureau itinérant",2,9,19,17,5,52,71
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 501","Mobile poll/Bureau itinérant",1,0,15,7,2,25,68
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 502","Mobile poll/Bureau itinérant",2,6,20,17,2,47,72
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 503","Mobile poll/Bureau itinérant",4,13,34,25,4,80,119
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 504","Mobile poll/Bureau itinérant",3,23,21,29,5,81,244
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 505","Mobile poll/Bureau itinérant",0,10,15,4,3,32,51
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 506","Mobile poll/Bureau itinérant",4,6,34,7,6,57,101
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 600","St. Walburg",0,4,130,20,0,154,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 601","Turtleford",2,0,59,20,0,81,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 602","Cochin",3,9,123,79,1,215,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 603","North Battleford",7,12,192,89,0,300,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 604","North Battleford",6,12,84,64,0,166,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 605","Lloydminster",6,9,130,39,0,184,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 606","Maidstone",7,3,121,31,1,163,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 607","Battleford",2,11,197,102,0,312,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 608","Unity",8,9,134,43,0,194,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 609","Wilkie",5,1,109,46,0,161,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 610","Kerrobert",9,3,94,17,0,123,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 611","Kindersley",12,13,261,50,0,336,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 612","Lloydminster",1,4,107,19,0,131,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 1/Groupe 1,13,59,30,59,8,169,211
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 2/Groupe 2,10,27,178,120,6,341,
