RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
Laura Yakiwchuk-Arndt,Recreation Coordinator/Coordonnatrice des loisirs,Vegreville--Wainwright,48024,Alberta,Viking
Phyllis MacDougall,Retired/Retraitée,Westlock--St. Paul,48025,Alberta,Westlock
Ralph M. Scarlett,Real Estate/Immobilier,Wetaskiwin,48026,Alberta,Bentley
Loren Dawn Braat,Self-employed/Travailleuse autonome,Wild Rose,48027,Alberta,Water Valley
Norma E. Fahl,Self-employed/Travailleuse autonome,Yellowhead,48028,Alberta,Hinton
Christine Wiebe,Retired/Retraitée,Abbotsford,59001,British Columbia/Colombie-Britannique,Abbotsford
Robert L. Switzer,Cabinetmaker/Ébéniste,British Columbia Southern Interior/Colombie-Britannique-Southern Interior,59026,British Columbia/Colombie-Britannique,Nelson
Vicki Louise Bradbury,School Principal/Directrice d'école,Burnaby--Douglas,59002,British Columbia/Colombie-Britannique,Burnaby
Vivian T. Price,Retired/Retraitée,Burnaby--New Westminster,59003,British Columbia/Colombie-Britannique,Burnaby
Lorraine Grant,Self-employed/Travailleuse autonome,Cariboo--Prince George,59004,British Columbia/Colombie-Britannique,Prince George
Rodney Rockliff,IT Project Manager/Gestionnaire de projet TI,Chilliwack--Fraser Canyon,59005,British Columbia/Colombie-Britannique,Chilliwack
Ruth Little,Receptionist/Réceptionniste,Delta--Richmond East/Delta--Richmond-Est,59006,British Columbia/Colombie-Britannique,Richmond
Kerry Fedosenko,Marriage Commissioner/Commissaire de mariage,Esquimalt--Juan de Fuca,59008,British Columbia/Colombie-Britannique,Sooke
Denis Weiss,Retired/Retraité,Fleetwood--Port Kells,59009,British Columbia/Colombie-Britannique,Surrey
Carolyn Secret,Retired/Retraitée,Kamloops--Thompson--Cariboo,59010,British Columbia/Colombie-Britannique,Kamloops
Wendy Creelman,Marketing/Commercialisation,Kelowna--Lake Country,59011,British Columbia/Colombie-Britannique,Kelowna
Leanne Jensen,Businesswoman/Femme d'affaires,Kootenay--Columbia,59012,British Columbia/Colombie-Britannique,Cranbrook
Patrick Lucier,Business/Affaires,Langley,59013,British Columbia/Colombie-Britannique,Langley
Ann L. Chandler,Teacher Aid/Aide-enseignante,Nanaimo--Alberni,59014,British Columbia/Colombie-Britannique,Port Alberni
Donald Arthur Oliver,Retired/Retraité,Nanaimo--Cowichan,59015,British Columbia/Colombie-Britannique,Nanaimo
Jasbir K. Heran,Administration,Newton--North Delta/Newton--Delta-Nord,59016,British Columbia/Colombie-Britannique,Surrey
Leslie Neil Budd,Business/Affaires,New Westminster--Coquitlam,59017,British Columbia/Colombie-Britannique,Coquitlam
Debra Fraser,Customer Support Representative/Représentante de soutien au client,North Vancouver,59019,British Columbia/Colombie-Britannique,North Vancouver
Basil Skodyn,Consulting Services/Services de consultation,Okanagan--Coquihalla,59020,British Columbia/Colombie-Britannique,Kelowna
Sharon G. Morrison,Provincial Coach for Curling in BC/Entraîneure provinciale pour curling en C.-B.,Okanagan--Shuswap,59018,British Columbia/Colombie-Britannique,Vernon
Ronald H. Climenhaga,Retired/Retraité,Pitt Meadows--Maple Ridge--Mission,59007,British Columbia/Colombie-Britannique,Pitt Meadows
Corey Van't Haaff,Media-Communications/Médias-Communications,Port Moody--Westwood--Port Coquitlam,59021,British Columbia/Colombie-Britannique,Port Coquitlam
Cheryl Ireland,Executive Assistant/Adjointe exécutive,Prince George--Peace River,59022,British Columbia/Colombie-Britannique,Dawson Creek
Albert Yan Wei,Human Resources consultant/Consultant en ressources humaines,Richmond,59023,British Columbia/Colombie-Britannique,Richmond
Donna Davidson,Consultant/Consultante,Saanich--Gulf Islands,59024,British Columbia/Colombie-Britannique,Saanichton
Brian C. Roberts,Office Manager/Chef de bureau,Skeena--Bulkley Valley,59025,British Columbia/Colombie-Britannique,Prince Rupert
Bryce Dudley,Retired/Retraité,South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,59027,British Columbia/Colombie-Britannique,Surrey
John Van Luven,Executive Director/Directeur exécutif,Surrey North/Surrey-Nord,59028,British Columbia/Colombie-Britannique,Surrey
Doug Cameron,Financial Aid Administration and Consultant/Administration de l'aide financière et consultant,Vancouver Centre/Vancouver-Centre,59029,British Columbia/Colombie-Britannique,Vancouver
Peter Hamilton Walton,Business Owner/Propriétaire d'entreprise,Vancouver East/Vancouver-Est,59030,British Columbia/Colombie-Britannique,Vancouver
Alexander Bruce Gordon,Retired/Retraité,Vancouver Island North/Île de Vancouver-Nord,59031,British Columbia/Colombie-Britannique,Comox
Frankie Kirby,Key Acct Officer Translink/Responsable des comptes-clés Translink,Vancouver Kingsway,59032,British Columbia/Colombie-Britannique,Vancouver
Ulrike Radermacher,Researcher Project-Manager/Gestionnaire de projet et recherche,Vancouver Quadra,59033,British Columbia/Colombie-Britannique,Vancouver
Rizwana Jiwa,Consultant/Consultante,Vancouver South/Vancouver-Sud,59034,British Columbia/Colombie-Britannique,Vancouver
Robert E. George,Retired/Retraité,Victoria,59035,British Columbia/Colombie-Britannique,Oak Bay
Charles Jeffery,Consultant,West Vancouver--Sunshine Coast--Sea to Sky Country,59036,British Columbia/Colombie-Britannique,Gibsons
Susan J. Edelman,Teacher/Enseignante,Yukon,60001,Yukon,Whitehorse
Elizabeth A. Wyman,Businesswoman/Femme d'affaires,Western Arctic,61001,Northwest Territories/Territoires du Nord-Ouest,Yellowknife
Qingyi Ken Su,Head Librarian/Chef de librairie,Nunavut,62001,Nunavut,Iqaluit
