Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Cardinal,Laurie Hawn,Mary MacDonald,Peggy Morton,David James Parker,Mikkel Paulson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Edmonton Centre/Edmonton-Centre"," 507","Mobile poll/Bureau itinérant",63,67,18,1,4,0,0,153,196
48012,"Edmonton Centre/Edmonton-Centre"," 600","Edmonton",115,283,63,2,8,3,0,474,
48012,"Edmonton Centre/Edmonton-Centre"," 601","Edmonton",120,176,59,0,6,4,0,365,
48012,"Edmonton Centre/Edmonton-Centre"," 602","Edmonton",71,350,50,1,4,6,0,482,
48012,"Edmonton Centre/Edmonton-Centre"," 603","Edmonton",94,403,284,0,18,4,2,805,
48012,"Edmonton Centre/Edmonton-Centre"," 604","Edmonton",145,254,165,0,22,3,0,589,
48012,"Edmonton Centre/Edmonton-Centre"," 605","Edmonton",29,55,46,0,6,0,2,138,
48012,"Edmonton Centre/Edmonton-Centre"," 606","Edmonton",57,279,65,0,10,2,0,413,
48012,"Edmonton Centre/Edmonton-Centre"," 607","Edmonton",63,376,149,0,14,2,0,604,
48012,"Edmonton Centre/Edmonton-Centre"," 608","Edmonton",114,307,212,0,23,5,0,661,
48012,"Edmonton Centre/Edmonton-Centre"," 609","Edmonton",111,298,240,2,30,1,5,687,
48012,"Edmonton Centre/Edmonton-Centre"," 610","Edmonton",100,171,155,0,18,1,1,446,
48012,"Edmonton Centre/Edmonton-Centre"," 611","Edmonton",47,103,91,0,14,2,0,257,
48012,"Edmonton Centre/Edmonton-Centre"," 612","Edmonton",60,379,81,2,19,2,0,543,
48012,"Edmonton Centre/Edmonton-Centre"," 613","Edmonton",52,369,195,0,16,4,0,636,
48012,"Edmonton Centre/Edmonton-Centre",,Group 1/Groupe 1,42,76,129,1,11,4,37,300,405
48012,"Edmonton Centre/Edmonton-Centre",,Group 2/Groupe 2,183,398,318,2,22,6,24,953,
