Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Hill,Mike Janssens,Jim Johnston,Bev Shipley,Gayle Stucke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 503","Mobile poll/Bureau itinérant",17,2,7,56,18,2,102,170
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 504","Mobile poll/Bureau itinérant",7,2,5,35,12,2,63,74
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 505","Mobile poll/Bureau itinérant",13,1,2,32,14,1,63,93
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 600","Lambton Shores",110,2,11,376,136,1,636,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 601","Forest (Lambton Shores)",104,6,9,389,84,4,596,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 602","North Middlesex",62,2,19,255,77,0,415,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 603","Lucan",52,1,15,250,60,0,378,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 604","Ilderton",87,2,30,493,135,2,749,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 605","Caradoc (Mount Brydges) North",67,5,10,277,81,0,440,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 606","Strathroy",117,4,14,318,94,3,550,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 607","Strathroy",84,5,22,230,65,2,408,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 608","Glencoe",126,4,15,272,89,0,506,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 609","Watford",28,6,6,157,28,1,226,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 610","Dresden",117,5,13,382,94,1,612,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 611","Wallaceburg",115,1,15,234,81,4,450,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 612","Thamesville",51,1,5,189,37,1,284,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 613","Grande-Pointe",38,2,6,116,40,2,204,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 614","Caradoc (Mount Brydges) South",40,1,1,156,67,0,265,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 615","Wallaceburg",27,1,1,36,19,0,84,
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,Group 1/Groupe 1,14,0,5,54,25,9,107,188
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,Group 2/Groupe 2,63,1,15,343,90,16,528,
