Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 130","Donnacona",32,46,3,56,9,3,149,271
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 131","Donnacona",38,28,7,61,4,1,139,356
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 132","Donnacona",27,30,6,62,10,1,136,289
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 133","Donnacona",59,39,9,82,9,1,199,357
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 134","Cap-Santé",91,74,5,134,11,3,318,536
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 135","Donnacona",36,18,6,43,1,3,107,256
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 136","Donnacona",48,56,7,91,11,5,218,402
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 137","Cap-Santé",36,57,7,98,17,4,219,387
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 138","Cap-Santé",57,54,7,125,17,3,263,490
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 139","Cap-Santé",60,64,8,107,13,4,256,435
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 140","Portneuf",89,51,5,109,16,3,273,456
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 141","Portneuf",56,29,9,119,6,6,225,383
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 142","Portneuf",70,48,7,108,8,3,244,474
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 143","Portneuf",41,29,5,75,12,0,162,306
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 144","Portneuf",47,48,0,75,6,2,178,316
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 145","Portneuf",24,23,2,33,7,3,92,179
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 146","Portneuf",71,58,4,136,15,6,290,500
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 147","Saint-Alban",67,54,10,143,22,1,297,514
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 148","Saint-Alban",60,37,7,107,31,0,242,459
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 149","Saint-Gilbert",42,28,2,71,7,2,152,234
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 150","Deschambault-Grondines",77,89,13,134,17,2,332,571
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 151","Deschambault-Grondines",65,63,5,89,20,2,244,384
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 152","Deschambault-Grondines",22,12,1,62,9,1,107,188
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 153","Saint-Marc-des-Carrières",42,24,4,72,13,2,157,337
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 154","Saint-Marc-des-Carrières",56,30,3,94,15,1,199,390
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 155","Saint-Marc-des-Carrières",75,24,4,83,16,2,204,351
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 156","Saint-Marc-des-Carrières",57,56,7,112,22,2,256,478
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 157","Saint-Marc-des-Carrières",48,52,3,106,19,5,233,407
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 158","Saint-Marc-des-Carrières",46,23,7,57,10,0,143,314
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 159","Deschambault-Grondines",21,31,1,75,7,1,136,243
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 160","Deschambault-Grondines",44,40,4,93,22,3,206,343
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 161","Saint-Ubalde",51,43,12,145,16,3,270,433
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 162","Saint-Ubalde",30,31,4,112,7,3,187,317
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 163","Saint-Ubalde",64,46,4,147,22,2,285,442
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 164","Saint-Thuribe",54,21,3,59,13,5,155,232
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 165","Saint-Casimir",40,47,5,86,8,1,187,320
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 166","Saint-Casimir",48,47,8,60,18,2,183,340
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 167","Saint-Casimir",45,27,7,65,11,1,156,327
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 168","Saint-Casimir",36,26,6,38,11,2,119,231
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 400","Saint-Augustin-de-Desmaures",34,11,2,38,15,4,104,126
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 500","Mobile poll/Bureau itinérant",20,11,0,14,9,4,58,179
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 501","Mobile poll/Bureau itinérant",20,22,1,32,27,4,106,268
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 502","Mobile poll/Bureau itinérant",23,12,6,25,7,8,81,158
