Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gregor Ash,Bruce Robert Pretty,Geoff Regan,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax West/Halifax-Ouest"," 400","Parkland Estates",2,4,4,1,0,11,37
12005,"Halifax West/Halifax-Ouest"," 401","Parkstone Enhanced Care",24,20,35,2,0,81,198
12005,"Halifax West/Halifax-Ouest"," 402","Halifax",14,25,25,0,1,65,152
12005,"Halifax West/Halifax-Ouest"," 500","Mobile poll/Bureau itinérant",16,21,17,1,2,57,90
12005,"Halifax West/Halifax-Ouest"," 501","Mobile poll/Bureau itinérant",21,55,36,2,0,114,138
12005,"Halifax West/Halifax-Ouest"," 502","Mobile poll/Bureau itinérant",8,14,7,0,2,31,36
12005,"Halifax West/Halifax-Ouest"," 600","Hammonds Plains",178,381,394,26,2,981,
12005,"Halifax West/Halifax-Ouest"," 601","Bedford",106,342,502,33,3,986,
12005,"Halifax West/Halifax-Ouest"," 602","Bedford",84,220,397,37,7,745,
12005,"Halifax West/Halifax-Ouest"," 603","Halifax",168,320,427,31,6,952,
12005,"Halifax West/Halifax-Ouest"," 604","Halifax",161,234,457,36,3,891,
12005,"Halifax West/Halifax-Ouest"," 605","Halifax",182,165,183,21,2,553,
12005,"Halifax West/Halifax-Ouest"," 606","Halifax",199,352,455,37,4,1047,
12005,"Halifax West/Halifax-Ouest"," 607","Halifax",229,269,335,39,6,878,
12005,"Halifax West/Halifax-Ouest"," 608","Halifax",121,144,160,33,3,461,
12005,"Halifax West/Halifax-Ouest",,Group 1/Groupe 1,43,206,80,16,26,371,882
12005,"Halifax West/Halifax-Ouest",,Group 2/Groupe 2,143,299,526,40,3,1011,
