Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Greig Crockett,Janna Francis,Nikki Inouye,Colin Mayes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 178","Coldstream",31,17,42,118,0,208,356
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 178-1","Coldstream",26,13,25,125,0,189,348
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 179","Coldstream",20,10,38,81,0,149,296
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 180","Coldstream",33,39,68,168,0,308,482
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 181","Coldstream",30,24,60,156,1,271,447
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 182","Lavington",34,7,65,153,2,261,425
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 183","Lavington",20,16,72,95,0,203,339
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 184","Lavington",35,22,61,148,0,266,431
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 185","Coldstream",35,13,61,128,2,239,423
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 186","Lumby--Trinity Valley",11,2,55,86,1,155,300
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 186-1","Lumby--Trinity Valley",34,10,18,91,0,153,274
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 187","Lumby",28,4,53,82,0,167,390
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 187-1","Lumby",25,2,66,99,1,193,387
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 188","Lumby",33,4,60,116,0,213,397
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 188-1","Lumby",6,6,17,45,0,74,167
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 189","Lumby--Creighton Valley",38,7,64,78,0,187,347
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 190","Lumby",17,10,52,105,0,184,389
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 190-1","Lumby",13,8,83,98,0,202,422
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 191","Lumby",37,6,69,97,0,209,437
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 192","Cherryville",65,12,67,89,0,233,411
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 500","Mobile poll/Bureau itinérant",7,9,16,35,0,67,156
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 501","Mobile poll/Bureau itinérant",6,9,15,36,0,66,120
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 502","Mobile poll/Bureau itinérant",9,21,39,112,3,184,343
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 503","Mobile poll/Bureau itinérant",3,6,12,36,0,57,105
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 504","Mobile poll/Bureau itinérant",7,13,10,40,2,72,96
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 505","Mobile poll/Bureau itinérant",7,13,23,38,1,82,184
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 506","Mobile poll/Bureau itinérant",6,12,25,89,3,135,228
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 507","Mobile poll/Bureau itinérant",7,19,30,104,0,160,217
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 600","Chase",19,14,70,182,0,285,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 601","Scotch Creek--Anglemont",24,12,45,144,0,225,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 602","Sorrento--Eagle Bay",23,28,74,417,0,542,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 603","Sicamous",11,19,52,185,0,267,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 604","Columbia-Shuswap",8,2,7,23,0,40,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 605","Salmon Arm",45,29,93,209,0,376,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 606","North Okanagan",26,13,56,111,0,206,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 607","Armstrong--Spallumcheen",53,78,111,494,3,739,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 608","Columbia-Shuswap D",1,1,12,20,1,35,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 609","North Okanagan C",33,27,25,133,0,218,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 610","Vernon",54,82,194,409,1,740,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 611","Vernon",37,47,119,271,1,475,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 612","Vernon",51,66,111,318,3,549,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 613","Coldstream",53,44,74,191,0,362,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 614","Lumby",28,23,59,172,0,282,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 615","Salmon Arm",49,64,192,462,0,767,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 616","Salmon Arm",35,20,75,229,0,359,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 617","Enderby",24,14,62,119,0,219,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 618","Vernon",22,28,74,236,1,361,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 619","Vernon",60,76,128,313,1,578,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 620","Vernon",35,47,68,227,0,377,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 621","Vernon",36,31,45,125,1,238,
59018,"Okanagan--Shuswap/Okanagan--Shuswap",,Group 1/Groupe 1,12,22,23,47,5,109,184
59018,"Okanagan--Shuswap/Okanagan--Shuswap",,Group 2/Groupe 2,85,133,147,537,10,912,
