Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Dilworth,Fin Donnelly,Rebecca Helps,Ken Beck Lee,Roland Verrier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187-1B","New Westminster",72,70,9,19,0,0,170,377
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187-1C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,57
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187-2","New Westminster",51,100,16,12,1,0,180,374
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 188","New Westminster",Void/Supprimé,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 189","New Westminster",37,79,10,6,1,0,133,321
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 190","New Westminster",55,103,9,12,1,0,180,343
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 190-1","New Westminster",77,105,12,27,0,0,221,449
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 191","New Westminster",77,135,17,21,1,1,252,495
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 192","New Westminster",31,61,12,6,1,0,111,277
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 193","New Westminster",60,87,12,5,0,1,165,370
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 194","New Westminster",35,84,11,5,1,0,136,363
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 195","New Westminster",38,96,8,15,3,0,160,329
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 500","Mobile poll/Bureau itinérant",22,26,10,8,0,2,68,138
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 501","Mobile poll/Bureau itinérant",29,24,2,15,2,1,73,136
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 502","Mobile poll/Bureau itinérant",43,56,4,12,3,0,118,120
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 503","Mobile poll/Bureau itinérant",33,30,4,9,0,2,78,141
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 504","Mobile poll/Bureau itinérant",66,50,4,16,3,3,142,109
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 505","Mobile poll/Bureau itinérant",35,40,9,16,1,4,105,208
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 506","Mobile poll/Bureau itinérant",8,15,4,5,0,3,35,34
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 600","Port Moody",163,177,14,29,0,1,384,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 601","Coquitlam",332,246,26,57,0,4,665,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 602","Coquitlam",289,200,19,46,1,0,555,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 603","Coquitlam",235,275,11,58,2,0,581,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 604","Coquitlam",209,210,17,33,0,0,469,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 605","Coquitlam",249,297,10,41,1,2,600,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 606","New Westminster",221,305,20,29,0,0,575,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 607","New Westminster",185,262,28,43,2,1,521,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 608","New Westminster",205,356,30,63,1,5,660,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 609","Port Moody",189,244,19,43,0,0,495,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 610","Coquitlam",225,242,13,30,1,0,511,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 611","Coquitlam",300,272,11,60,1,2,646,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 612","New Westminster",122,180,17,32,0,2,353,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam",,Group 1/Groupe 1,41,28,9,25,2,13,118,189
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam",,Group 2/Groupe 2,315,320,29,67,1,8,740,
