Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beals,Alicia Gordon,Ted Hsu,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 100","Kingston",76,87,55,5,0,223,527
35036,"Kingston and the Islands/Kingston et les Îles"," 101","Kingston",67,57,65,1,1,191,438
35036,"Kingston and the Islands/Kingston et les Îles"," 102","Kingston",24,32,101,4,1,162,289
35036,"Kingston and the Islands/Kingston et les Îles"," 103","Kingston",36,38,43,5,0,122,198
35036,"Kingston and the Islands/Kingston et les Îles"," 104","Kingston",25,44,103,12,0,184,350
35036,"Kingston and the Islands/Kingston et les Îles"," 105","Kingston",49,34,60,10,0,153,347
35036,"Kingston and the Islands/Kingston et les Îles"," 106","Kingston",19,63,118,3,0,203,353
35036,"Kingston and the Islands/Kingston et les Îles"," 107","Kingston",59,47,51,15,0,172,404
35036,"Kingston and the Islands/Kingston et les Îles"," 108","Kingston",65,73,64,14,1,217,501
35036,"Kingston and the Islands/Kingston et les Îles"," 109","Kingston",42,54,55,4,1,156,419
35036,"Kingston and the Islands/Kingston et les Îles"," 109-1","Kingston",20,29,26,4,0,79,222
35036,"Kingston and the Islands/Kingston et les Îles"," 110","Kingston",28,73,71,4,1,177,313
35036,"Kingston and the Islands/Kingston et les Îles"," 111","Kingston",50,81,73,5,1,210,417
35036,"Kingston and the Islands/Kingston et les Îles"," 112","Kingston",35,83,53,5,1,177,327
35036,"Kingston and the Islands/Kingston et les Îles"," 112-1","Kingston",34,72,39,5,1,151,297
35036,"Kingston and the Islands/Kingston et les Îles"," 112-2","Kingston",27,48,43,5,0,123,273
35036,"Kingston and the Islands/Kingston et les Îles"," 113","Kingston",53,77,69,14,0,213,439
35036,"Kingston and the Islands/Kingston et les Îles"," 114","Kingston",51,50,60,6,0,167,413
35036,"Kingston and the Islands/Kingston et les Îles"," 115","Kingston",42,41,46,10,0,139,324
35036,"Kingston and the Islands/Kingston et les Îles"," 116","Kingston",56,76,120,8,3,263,436
35036,"Kingston and the Islands/Kingston et les Îles"," 117","Kingston",24,66,112,3,2,207,349
35036,"Kingston and the Islands/Kingston et les Îles"," 118","Kingston",22,79,91,10,0,202,385
35036,"Kingston and the Islands/Kingston et les Îles"," 119","Kingston",23,80,83,7,0,193,335
35036,"Kingston and the Islands/Kingston et les Îles"," 120","Kingston",57,78,75,8,1,219,402
35036,"Kingston and the Islands/Kingston et les Îles"," 121A","Kingston",22,41,63,5,0,131,263
35036,"Kingston and the Islands/Kingston et les Îles"," 121B","Kingston",24,57,70,5,0,156,277
35036,"Kingston and the Islands/Kingston et les Îles"," 122","Kingston",22,65,104,6,0,197,326
35036,"Kingston and the Islands/Kingston et les Îles"," 123","Kingston",29,67,51,4,1,152,305
