Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adriane Carr,Jennifer Clarke,John Clarke,Hedy Fry,Michael Hill,Michael Huenefeld,Travis McCrea,Karen Shillington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"Vancouver Centre/Vancouver-Centre"," 49","Vancouver",48,54,3,56,0,0,1,66,0,228,525
59029,"Vancouver Centre/Vancouver-Centre"," 50","Vancouver",49,35,0,57,0,1,1,90,0,233,499
59029,"Vancouver Centre/Vancouver-Centre"," 51","Vancouver",39,28,0,63,0,0,0,44,0,174,330
59029,"Vancouver Centre/Vancouver-Centre"," 52","Vancouver",42,31,2,57,0,2,1,62,0,197,397
59029,"Vancouver Centre/Vancouver-Centre"," 53A","Vancouver",54,35,0,63,0,1,1,88,0,242,473
59029,"Vancouver Centre/Vancouver-Centre"," 53B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,,75
59029,"Vancouver Centre/Vancouver-Centre"," 54","Vancouver",33,36,0,55,0,1,0,64,0,189,347
59029,"Vancouver Centre/Vancouver-Centre"," 55","Vancouver",68,38,0,78,0,0,0,77,1,262,501
59029,"Vancouver Centre/Vancouver-Centre"," 56","Vancouver",44,26,1,52,0,1,0,78,0,202,421
59029,"Vancouver Centre/Vancouver-Centre"," 57","Vancouver",41,15,0,43,0,0,0,61,0,160,326
59029,"Vancouver Centre/Vancouver-Centre"," 58","Vancouver",47,25,2,61,0,3,0,90,0,228,513
59029,"Vancouver Centre/Vancouver-Centre"," 59","Vancouver",31,29,2,51,0,3,0,52,0,168,403
59029,"Vancouver Centre/Vancouver-Centre"," 60","Vancouver",42,30,1,59,0,1,2,77,0,212,417
59029,"Vancouver Centre/Vancouver-Centre"," 61","Vancouver",54,36,0,55,0,1,1,77,0,224,427
59029,"Vancouver Centre/Vancouver-Centre"," 62","Vancouver",41,41,2,67,0,1,2,99,1,254,480
59029,"Vancouver Centre/Vancouver-Centre"," 62-1","Vancouver",Void/Supprimé,,,,,,,,,,
59029,"Vancouver Centre/Vancouver-Centre"," 63","Vancouver",47,34,0,64,1,0,0,114,2,262,479
59029,"Vancouver Centre/Vancouver-Centre"," 64","Vancouver",45,35,1,57,0,1,0,65,0,204,443
59029,"Vancouver Centre/Vancouver-Centre"," 65","Vancouver",44,31,2,67,0,0,1,101,0,246,480
59029,"Vancouver Centre/Vancouver-Centre"," 66","Vancouver",44,17,1,38,0,1,3,44,2,150,327
59029,"Vancouver Centre/Vancouver-Centre"," 67","Vancouver",30,31,2,67,1,0,1,67,0,199,394
59029,"Vancouver Centre/Vancouver-Centre"," 68","Vancouver",29,24,0,42,0,2,1,49,2,149,303
59029,"Vancouver Centre/Vancouver-Centre"," 69","Vancouver",41,64,3,61,0,0,0,82,0,251,496
59029,"Vancouver Centre/Vancouver-Centre"," 70","Vancouver",23,27,0,34,0,0,0,48,0,132,240
59029,"Vancouver Centre/Vancouver-Centre"," 70-1","Vancouver",25,52,0,58,0,1,0,45,3,184,355
59029,"Vancouver Centre/Vancouver-Centre"," 71","Vancouver",48,53,3,74,1,2,0,71,1,253,495
59029,"Vancouver Centre/Vancouver-Centre"," 72","Vancouver",36,31,0,56,0,0,3,59,0,185,372
59029,"Vancouver Centre/Vancouver-Centre"," 73","Vancouver",16,54,2,48,0,3,1,70,2,196,402
59029,"Vancouver Centre/Vancouver-Centre"," 74","Vancouver",52,31,1,81,1,1,1,73,1,242,524
59029,"Vancouver Centre/Vancouver-Centre"," 75","Vancouver",18,79,4,60,1,0,0,32,0,194,502
59029,"Vancouver Centre/Vancouver-Centre"," 76","Vancouver",12,78,0,52,0,1,0,16,1,160,314
59029,"Vancouver Centre/Vancouver-Centre"," 76-1","Vancouver",18,61,2,51,1,1,0,24,0,158,338
59029,"Vancouver Centre/Vancouver-Centre"," 77","Vancouver",10,85,2,52,1,0,0,37,0,187,451
59029,"Vancouver Centre/Vancouver-Centre"," 78","Vancouver",17,43,2,65,0,0,0,54,1,182,469
59029,"Vancouver Centre/Vancouver-Centre"," 78-1","Vancouver",30,57,4,38,0,1,0,64,1,195,425
59029,"Vancouver Centre/Vancouver-Centre"," 79","Vancouver",15,52,0,40,0,1,0,42,0,150,311
59029,"Vancouver Centre/Vancouver-Centre"," 80","Vancouver",23,46,0,64,0,2,1,52,0,188,447
59029,"Vancouver Centre/Vancouver-Centre"," 81","Vancouver",20,32,1,38,1,2,0,60,1,155,423
59029,"Vancouver Centre/Vancouver-Centre"," 81-1","Vancouver",27,51,2,57,0,1,0,48,1,187,447
59029,"Vancouver Centre/Vancouver-Centre"," 82","Vancouver",Merged with No. 95/Fusionné avec le nº 95,,,,,,,,,,141
59029,"Vancouver Centre/Vancouver-Centre"," 82-1","Vancouver",36,63,1,88,0,2,1,60,0,251,593
59029,"Vancouver Centre/Vancouver-Centre"," 83","Vancouver",18,43,2,80,0,1,1,34,0,179,413
59029,"Vancouver Centre/Vancouver-Centre"," 83-1","Vancouver",29,48,2,53,0,0,2,53,1,188,572
59029,"Vancouver Centre/Vancouver-Centre"," 84","Vancouver",10,83,1,35,0,0,1,13,1,144,381
59029,"Vancouver Centre/Vancouver-Centre"," 84-1","Vancouver",9,67,1,57,0,0,0,26,2,162,458
59029,"Vancouver Centre/Vancouver-Centre"," 84-2","Vancouver",16,67,1,62,0,0,0,19,0,165,438
59029,"Vancouver Centre/Vancouver-Centre"," 84-3","Vancouver",19,97,0,79,0,2,2,22,1,222,580
59029,"Vancouver Centre/Vancouver-Centre"," 85","Vancouver",18,150,3,54,0,4,0,22,1,252,610
59029,"Vancouver Centre/Vancouver-Centre"," 86A","Vancouver",32,44,1,52,0,0,1,52,1,183,462
59029,"Vancouver Centre/Vancouver-Centre"," 86B","Vancouver",27,43,0,43,0,2,0,41,0,156,398
59029,"Vancouver Centre/Vancouver-Centre"," 87","Vancouver",Void/Supprimé,,,,,,,,,,
59029,"Vancouver Centre/Vancouver-Centre"," 88","Vancouver",20,63,0,41,0,1,0,27,0,152,339
59029,"Vancouver Centre/Vancouver-Centre"," 88-1A","Vancouver",22,50,1,65,0,0,0,36,0,174,373
59029,"Vancouver Centre/Vancouver-Centre"," 88-1B","Vancouver",27,52,0,58,0,0,0,27,0,164,379
59029,"Vancouver Centre/Vancouver-Centre"," 89","Vancouver",20,56,1,53,0,1,0,37,0,168,375
59029,"Vancouver Centre/Vancouver-Centre"," 90","Vancouver",14,81,0,87,0,0,0,40,0,222,532
59029,"Vancouver Centre/Vancouver-Centre"," 90-1","Vancouver",25,77,0,68,0,0,0,54,1,225,562
59029,"Vancouver Centre/Vancouver-Centre"," 90-2","Vancouver",Void/Supprimé,,,,,,,,,,
59029,"Vancouver Centre/Vancouver-Centre"," 91","Vancouver",17,46,0,35,0,2,0,38,1,139,350
59029,"Vancouver Centre/Vancouver-Centre"," 92","Vancouver",16,53,1,40,0,2,0,36,0,148,332
59029,"Vancouver Centre/Vancouver-Centre"," 92-1","Vancouver",19,39,1,48,1,0,1,69,1,179,414
59029,"Vancouver Centre/Vancouver-Centre"," 93","Vancouver",16,59,0,47,0,0,0,19,0,141,367
59029,"Vancouver Centre/Vancouver-Centre"," 93-1","Vancouver",26,74,3,61,0,1,0,31,0,196,455
59029,"Vancouver Centre/Vancouver-Centre"," 94","Vancouver",17,63,2,54,0,3,0,46,0,185,511
59029,"Vancouver Centre/Vancouver-Centre"," 94-1","Vancouver",17,133,1,77,0,1,1,25,0,255,595
