Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Boyd,Alicia Cormier,Tim Kane,Elizabeth May,Meghan Jess Porter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 162","Gordon Head",54,19,43,126,1,0,243,447
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 163","Saanich",38,24,68,79,2,2,213,420
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 164","Saanich",45,16,31,87,1,0,180,332
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 165","Gordon Head",39,23,43,119,3,0,227,428
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 166","Saanich",53,18,59,118,0,3,251,438
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 167","Saanich",34,22,50,116,2,0,224,405
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 168","Capital G",52,16,63,114,0,0,245,471
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 169","Saanich",21,12,37,108,0,0,178,378
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 170","Saanich",58,16,55,99,0,1,229,386
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 171","Saanich",37,18,53,98,0,1,207,415
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 172","Gordon Head",45,28,62,121,3,0,259,443
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 173","Saanich",26,27,52,100,2,3,210,426
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 174","Saanich",33,23,41,91,1,0,189,395
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 175","Gordon Head",37,21,41,78,0,0,177,356
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 176","Gordon Head",49,31,49,103,0,0,232,416
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 177","Gordon Head",43,32,54,82,0,1,212,417
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 178","Saanich",40,23,55,115,0,0,233,412
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 179","Saanich",40,40,73,104,3,1,261,588
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 180","Lake Hill",34,27,27,80,2,1,171,321
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 181","Lake Hill",26,12,41,94,1,1,175,272
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 182","Lake Hill",20,22,38,102,2,1,185,349
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 183","Saanich",36,17,35,73,1,0,162,309
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 184","Saanich",18,23,26,74,1,2,144,318
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 185","Saanich",74,20,65,118,1,0,278,433
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 186","Saanich",43,32,57,117,2,1,252,452
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 187","Saanich",30,32,63,90,2,0,217,366
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 188","Saanich",45,24,57,109,0,1,236,379
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 189","Saanich",43,27,48,111,0,0,229,435
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 190","Saanich",45,29,44,120,0,1,239,389
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 191","Saanich",30,24,64,106,3,0,227,424
