Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Assouline,Frank Baylis,Lysane Blanchette-Lamothe,Natalie Laplante,Abraham Weizfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 110","Dollard-des-Ormeaux",39,127,27,6,3,4,206,343
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 111","Dollard-des-Ormeaux",17,115,31,3,3,0,169,333
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 112","Dollard-des-Ormeaux",57,213,53,12,7,0,342,638
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 113","Dollard-des-Ormeaux",17,98,37,1,1,0,154,342
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 114","Dollard-des-Ormeaux",22,127,25,4,2,0,180,373
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 115","Dollard-des-Ormeaux",14,93,15,0,3,0,125,339
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 116","Dollard-des-Ormeaux",27,166,16,3,2,1,215,400
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 117","Dollard-des-Ormeaux",51,135,18,2,2,0,208,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 118","Dollard-des-Ormeaux",55,147,19,3,2,0,226,447
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 119","Dollard-des-Ormeaux",32,137,26,3,4,2,204,342
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 120","Dollard-des-Ormeaux",32,182,28,4,5,1,252,505
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 121","Dollard-des-Ormeaux",43,172,26,0,3,0,244,443
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 122","Dollard-des-Ormeaux",16,165,39,6,4,3,233,414
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 123","Dollard-des-Ormeaux",40,170,35,4,8,4,261,418
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 124","Dollard-des-Ormeaux",33,155,41,3,9,0,241,477
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 125","Dollard-des-Ormeaux",30,103,21,4,1,0,159,320
