Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Affine Lwalalika,Pierre Nantel,Michael O'Grady,Casandra Poitras,John Sedlak,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 151","Longueuil",1,64,48,5,18,70,2,208,411
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 152","Longueuil",0,62,45,6,7,61,7,188,411
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 153","Longueuil",0,40,56,4,7,58,5,170,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 154","Longueuil",0,75,39,6,14,51,2,187,393
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 155","Longueuil",0,49,35,8,19,69,8,188,443
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 156","Longueuil",0,41,53,8,13,57,5,177,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 157","Longueuil",0,50,46,8,21,83,9,217,433
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 158","Longueuil",0,53,44,7,10,66,2,182,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 159","Longueuil",0,36,81,5,20,44,7,193,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 160","Longueuil",0,46,61,3,11,49,8,178,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 161","Longueuil",0,48,72,1,18,40,4,183,373
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 162","Longueuil",1,46,83,4,21,52,5,212,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 163","Longueuil",1,36,49,3,11,50,6,156,355
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 164","Longueuil",0,86,59,3,23,76,3,250,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 165","Longueuil",0,37,93,10,23,59,5,227,488
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 166","Longueuil",0,60,60,4,12,62,0,198,356
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 167","Longueuil",0,44,91,8,14,55,5,217,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 168","Longueuil",0,75,77,5,19,66,2,244,407
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 169","Longueuil",1,57,87,3,23,61,4,236,460
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 170","Longueuil",0,58,56,3,16,61,0,194,413
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 171","Longueuil",0,101,73,11,41,40,5,271,467
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 172","Longueuil",2,53,89,6,12,56,1,219,423
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 173","Longueuil",2,79,71,4,20,66,4,246,446
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 174","Longueuil",0,33,86,6,23,50,8,206,472
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 175A","Longueuil",1,33,35,3,9,60,1,142,370
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 175B","Longueuil",0,39,38,1,9,56,6,149,340
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 176","Longueuil",0,57,87,6,20,71,3,244,414
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 177","Longueuil",1,45,69,5,19,45,9,193,429
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 178","Longueuil",4,68,115,11,22,65,12,297,542
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 179","Longueuil",1,33,98,2,25,42,7,208,412
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 180","Longueuil",0,32,49,6,13,36,4,140,303
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 181","Longueuil",0,25,72,4,8,55,4,168,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 182","Longueuil",1,36,79,4,23,57,3,203,433
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 183","Longueuil",1,65,60,4,17,73,7,227,445
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 184","Longueuil",0,48,59,7,18,67,4,203,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 185","Longueuil",0,57,46,3,14,49,3,172,331
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 186","Longueuil",0,48,73,7,21,58,2,209,479
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 187","Longueuil",0,83,86,5,32,87,0,293,465
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 188","Longueuil",0,81,90,4,27,101,9,312,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 189","Longueuil",0,64,63,5,25,65,4,226,404
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 190","Longueuil",1,48,81,4,33,46,5,218,417
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 191","Longueuil",0,76,126,9,28,80,4,323,520
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 192","Longueuil",1,55,53,3,4,70,4,190,346
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 193","Longueuil",1,48,77,4,19,64,3,216,407
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 194","Longueuil",0,39,57,2,22,53,4,177,316
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 195","Longueuil",1,42,57,13,12,64,4,193,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 196","Longueuil",0,41,46,5,16,58,2,168,385
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 197","Longueuil",0,42,60,3,16,62,3,186,382
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 198","Longueuil",0,65,125,3,28,68,6,295,527
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 400","Longueuil",0,36,54,2,10,51,4,157,181
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 401","Longueuil",1,55,127,3,16,29,0,231,291
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 402","Longueuil",0,31,46,1,8,40,1,127,163
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 403","Longueuil",0,26,62,1,15,28,1,133,170
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 404","Longueuil",3,50,114,1,26,54,7,255,326
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 500","Mobile poll/Bureau itinérant",0,8,68,2,8,12,1,99,163
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 501","Mobile poll/Bureau itinérant",0,8,26,1,6,13,3,57,157
