Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Abbott,Julie Dabrusin,Benjamin Dichter,John Richardson,Craig Scott,Chris Tolley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 114","Toronto",1,128,26,6,96,23,0,280,427
35109,"Toronto--Danforth/Toronto--Danforth"," 115","Toronto",0,117,28,1,94,14,1,255,434
35109,"Toronto--Danforth/Toronto--Danforth"," 116","Toronto",1,125,21,1,65,12,0,225,332
35109,"Toronto--Danforth/Toronto--Danforth"," 117","Toronto",0,98,18,2,59,9,0,186,320
35109,"Toronto--Danforth/Toronto--Danforth"," 118","Toronto",0,125,27,7,98,17,3,277,478
35109,"Toronto--Danforth/Toronto--Danforth"," 119","Toronto",2,143,35,3,116,14,4,317,498
35109,"Toronto--Danforth/Toronto--Danforth"," 120","Toronto",0,84,18,3,95,10,0,210,362
35109,"Toronto--Danforth/Toronto--Danforth"," 121","Toronto",0,86,24,10,111,7,0,238,516
35109,"Toronto--Danforth/Toronto--Danforth"," 122","Toronto",1,96,15,3,78,10,3,206,368
35109,"Toronto--Danforth/Toronto--Danforth"," 123","Toronto",Merged with No./Fusionné avec le n°122,,,,,,,,45
35109,"Toronto--Danforth/Toronto--Danforth"," 124","Toronto",1,158,32,5,96,14,2,308,517
35109,"Toronto--Danforth/Toronto--Danforth"," 125","Toronto",1,123,15,1,94,9,3,246,447
35109,"Toronto--Danforth/Toronto--Danforth"," 126","Toronto",0,82,23,4,60,11,0,180,329
35109,"Toronto--Danforth/Toronto--Danforth"," 127","Toronto",1,123,18,2,81,25,0,250,433
35109,"Toronto--Danforth/Toronto--Danforth"," 128","Toronto",3,107,16,1,111,11,1,250,333
35109,"Toronto--Danforth/Toronto--Danforth"," 129","Toronto",1,102,20,4,112,9,2,250,337
35109,"Toronto--Danforth/Toronto--Danforth"," 130","Toronto",0,111,20,3,67,18,1,220,360
35109,"Toronto--Danforth/Toronto--Danforth"," 131","Toronto",1,124,25,8,106,6,0,270,463
35109,"Toronto--Danforth/Toronto--Danforth"," 132","Toronto",1,139,29,6,88,19,0,282,462
35109,"Toronto--Danforth/Toronto--Danforth"," 133","Toronto",0,83,23,3,58,2,1,170,363
35109,"Toronto--Danforth/Toronto--Danforth"," 134","Toronto",0,82,19,5,86,19,1,212,372
35109,"Toronto--Danforth/Toronto--Danforth"," 135","Toronto",1,60,10,3,178,15,0,267,418
35109,"Toronto--Danforth/Toronto--Danforth"," 136","Toronto",1,53,9,3,80,7,1,154,292
35109,"Toronto--Danforth/Toronto--Danforth"," 137","Toronto",2,94,34,9,66,9,1,215,411
35109,"Toronto--Danforth/Toronto--Danforth"," 138","Toronto",1,116,18,0,75,13,3,226,426
35109,"Toronto--Danforth/Toronto--Danforth"," 139","Toronto",0,94,22,4,101,13,0,234,421
35109,"Toronto--Danforth/Toronto--Danforth"," 140","Toronto",1,100,14,0,36,8,0,159,305
35109,"Toronto--Danforth/Toronto--Danforth"," 141","Toronto",3,112,14,4,85,11,1,230,435
35109,"Toronto--Danforth/Toronto--Danforth"," 142","Toronto",2,94,26,6,81,11,3,223,468
35109,"Toronto--Danforth/Toronto--Danforth"," 143","Toronto",1,71,17,11,55,11,1,167,365
35109,"Toronto--Danforth/Toronto--Danforth"," 144","Toronto",0,86,27,4,69,10,0,196,385
35109,"Toronto--Danforth/Toronto--Danforth"," 145","Toronto",6,45,24,22,96,6,3,202,432
35109,"Toronto--Danforth/Toronto--Danforth"," 146","Toronto",2,57,6,4,56,8,1,134,285
35109,"Toronto--Danforth/Toronto--Danforth"," 147","Toronto",5,119,40,6,84,19,4,277,446
35109,"Toronto--Danforth/Toronto--Danforth"," 148","Toronto",0,79,18,2,40,12,2,153,413
35109,"Toronto--Danforth/Toronto--Danforth"," 149","Toronto",2,82,20,3,93,9,0,209,407
35109,"Toronto--Danforth/Toronto--Danforth"," 150","Toronto",0,143,22,8,85,17,0,275,507
35109,"Toronto--Danforth/Toronto--Danforth"," 151","Toronto",1,163,42,5,108,18,3,340,609
35109,"Toronto--Danforth/Toronto--Danforth"," 152","Toronto",1,118,27,2,73,18,0,239,435
35109,"Toronto--Danforth/Toronto--Danforth"," 153","Toronto",1,113,35,4,64,8,0,225,431
35109,"Toronto--Danforth/Toronto--Danforth"," 154","Toronto",2,104,14,3,84,13,0,220,440
35109,"Toronto--Danforth/Toronto--Danforth"," 155","Toronto",1,123,25,4,80,27,0,260,461
35109,"Toronto--Danforth/Toronto--Danforth"," 156","Toronto",1,87,30,4,144,15,5,286,471
35109,"Toronto--Danforth/Toronto--Danforth"," 157","Toronto",0,103,23,5,93,13,3,240,506
35109,"Toronto--Danforth/Toronto--Danforth"," 158","Toronto",5,118,15,1,100,17,0,256,433
35109,"Toronto--Danforth/Toronto--Danforth"," 159","Toronto",6,114,27,7,113,14,0,281,444
35109,"Toronto--Danforth/Toronto--Danforth"," 160","Toronto",5,76,20,11,61,10,1,184,409
35109,"Toronto--Danforth/Toronto--Danforth"," 161","Toronto",1,76,9,5,64,7,0,162,326
35109,"Toronto--Danforth/Toronto--Danforth"," 162","Toronto",1,87,38,7,88,14,1,236,443
35109,"Toronto--Danforth/Toronto--Danforth"," 163","Toronto",0,80,13,2,89,10,1,195,424
35109,"Toronto--Danforth/Toronto--Danforth"," 164","Toronto",4,74,18,4,87,3,1,191,383
35109,"Toronto--Danforth/Toronto--Danforth"," 165","Toronto",2,111,25,4,92,15,0,249,453
35109,"Toronto--Danforth/Toronto--Danforth"," 166","Toronto",1,86,32,6,75,8,1,209,436
35109,"Toronto--Danforth/Toronto--Danforth"," 167","Toronto",2,76,25,5,89,6,4,207,462
35109,"Toronto--Danforth/Toronto--Danforth"," 168","Toronto",1,85,18,8,89,10,3,214,452
35109,"Toronto--Danforth/Toronto--Danforth"," 169","Toronto",5,107,20,4,92,10,2,240,431
35109,"Toronto--Danforth/Toronto--Danforth"," 170","Toronto",3,104,32,4,85,14,0,242,443
35109,"Toronto--Danforth/Toronto--Danforth"," 171","Toronto",0,106,12,4,82,15,3,222,451
35109,"Toronto--Danforth/Toronto--Danforth"," 172","Toronto",1,96,24,1,71,19,1,213,420
35109,"Toronto--Danforth/Toronto--Danforth"," 173","Toronto",14,107,22,8,105,11,0,267,484
35109,"Toronto--Danforth/Toronto--Danforth"," 174","Toronto",0,106,34,7,116,15,2,280,559
35109,"Toronto--Danforth/Toronto--Danforth"," 175","Toronto",0,79,16,2,84,17,1,199,403
35109,"Toronto--Danforth/Toronto--Danforth"," 176","Toronto",3,139,48,8,76,8,0,282,573
35109,"Toronto--Danforth/Toronto--Danforth"," 177","Toronto",1,125,21,6,91,8,0,252,493
35109,"Toronto--Danforth/Toronto--Danforth"," 178","Toronto",2,127,14,4,72,6,0,225,471
35109,"Toronto--Danforth/Toronto--Danforth"," 179","Toronto",2,80,19,13,96,13,3,226,396
35109,"Toronto--Danforth/Toronto--Danforth"," 180","Toronto",2,95,21,8,98,7,0,231,475
35109,"Toronto--Danforth/Toronto--Danforth"," 181","Toronto",3,50,15,5,54,3,0,130,232
35109,"Toronto--Danforth/Toronto--Danforth"," 182","Toronto",4,65,13,7,94,14,0,197,380
35109,"Toronto--Danforth/Toronto--Danforth"," 183","Toronto",1,84,15,2,94,17,0,213,389
35109,"Toronto--Danforth/Toronto--Danforth"," 184","Toronto",0,72,9,2,82,8,0,173,345
35109,"Toronto--Danforth/Toronto--Danforth"," 185","Toronto",5,81,13,3,79,15,1,197,376
35109,"Toronto--Danforth/Toronto--Danforth"," 186","Toronto",1,96,15,5,99,14,2,232,454
35109,"Toronto--Danforth/Toronto--Danforth"," 187","Toronto",0,135,17,3,100,0,1,256,468
35109,"Toronto--Danforth/Toronto--Danforth"," 400","Toronto",0,71,14,2,72,14,0,173,318
35109,"Toronto--Danforth/Toronto--Danforth"," 401","Toronto",3,55,14,4,84,2,0,162,333
35109,"Toronto--Danforth/Toronto--Danforth"," 402","East York",1,99,16,3,69,6,1,195,237
35109,"Toronto--Danforth/Toronto--Danforth"," 500","Mobile poll/Bureau itinérant",4,46,11,3,6,4,2,76,155
35109,"Toronto--Danforth/Toronto--Danforth"," 600","Toronto",2,425,144,30,483,46,5,1135,
35109,"Toronto--Danforth/Toronto--Danforth"," 601","Toronto",2,402,111,35,408,28,6,992,
35109,"Toronto--Danforth/Toronto--Danforth"," 602","Toronto",10,459,143,35,473,53,5,1178,
