Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike DiLivio,Jennifer Stebbing,David Sweet,David Allan Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 602","Flamborough",115,540,553,30,8,1246,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 603","Flamborough",98,469,421,26,2,1016,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 604","Flamborough",82,223,312,27,1,645,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 605","Ancaster",110,415,506,26,2,1059,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 606","Hamilton ",130,268,325,29,8,760,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 607","Hamilton ",109,193,246,15,0,563,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 608","Stoney Creek",121,315,300,14,2,752,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 609","Stoney Creek",175,402,341,24,3,945,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 610","Stoney Creek",124,303,311,13,2,753,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 611","Stoney Creek",140,269,371,24,1,805,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",,"Group 1/Groupe 1",12,35,20,1,5,73,50
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",,"Group 2/Groupe 2",127,315,339,32,17,830,
