Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Moe Comuzzi,Christy Radbourne,John Rafferty,Don Rusnak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 400","Thunder Bay",18,4,30,49,0,101,128
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 500","Mobile poll/Bureau itinérant",37,4,18,39,1,99,157
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 501","Mobile poll/Bureau itinérant",17,3,18,40,1,79,155
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Rainy River",81,5,61,46,0,193,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Fort Frances",124,9,76,76,0,285,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Fort Frances",191,25,273,192,3,684,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Atikokan",86,18,156,164,2,426,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Kakabeka Falls",173,57,199,235,0,664,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Thunder Bay",194,36,166,321,1,718,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Thunder Bay",215,42,312,505,1,1075,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Thunder Bay",87,54,234,257,3,635,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Thunder Bay",92,49,199,285,1,626,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Thunder Bay",192,51,281,434,3,961,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Thunder Bay",132,35,176,250,2,595,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 611","Thunder Bay",43,11,54,56,0,164,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,"Group 1/Groupe 1",27,3,49,63,9,151,113
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,"Group 2/Groupe 2",255,48,401,476,26,1206,
