Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jay Aspin,Kathleen Jodouin,Nicole Peltier,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 106","North Bay ",55,31,3,101,0,190,399
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 107","North Bay ",52,16,4,90,0,162,335
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 108A","North Bay",25,14,2,55,0,96,209
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 108B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,17
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 109","North Bay ",57,30,9,91,0,187,402
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 110","North Bay ",34,39,6,104,1,184,410
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 111","North Bay ",59,33,6,106,0,204,442
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 112","North Bay ",34,27,3,77,0,141,332
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 113","North Bay ",23,26,4,70,0,123,251
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 114","North Bay ",47,29,4,99,0,179,372
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 115","North Bay ",35,19,6,67,1,128,267
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 116","North Bay ",36,28,3,87,1,155,363
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 117","North Bay ",44,44,8,86,0,182,370
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 118","North Bay ",32,30,4,74,0,140,301
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 119","North Bay ",48,31,2,102,0,183,408
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 120","North Bay ",76,31,6,125,1,239,492
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 121","North Bay ",58,37,8,91,0,194,365
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 122","North Bay ",99,33,11,156,0,299,573
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 123","North Bay ",60,27,8,98,0,193,420
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 124","North Bay ",100,22,3,156,3,284,552
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 125","North Bay ",99,14,4,116,2,235,442
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 126","North Bay ",50,32,4,135,0,221,464
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 127","North Bay ",43,34,10,118,2,207,422
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 128","North Bay ",49,38,4,105,2,198,355
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 129","North Bay ",35,19,2,84,0,140,288
