Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Calvin John Orok,André Robichaud,Heather Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 608","Chapleau",173,7,82,152,0,414,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 609","Desbarats",47,4,103,50,0,204,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 610","Desbarats",84,4,133,80,2,303,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 611","Thessalon",101,6,114,110,1,332,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 612","Blind River",234,24,210,298,4,770,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 613","Elliot Lake",79,8,69,58,2,216,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 614","Elliot Lake",264,16,200,218,1,699,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 615","Massey",138,9,63,87,0,297,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 616","Espanola",16,1,11,16,0,44,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 617","Espanola",214,9,176,285,0,684,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 618","Gore Bay",111,8,108,91,0,318,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 619","Central Manitoulin",144,15,99,94,0,352,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 620","Little Current",154,6,103,116,2,381,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 621","Elliot Lake",71,3,89,55,2,220,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 622","Elliot Lake",220,13,162,143,2,540,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",,"Group 1/Groupe 1",27,9,30,71,3,140,85
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",,"Group 2/Groupe 2",875,30,465,484,18,1872,
