Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Toban Leckie,Doug Mason,Maryam Monsef,Dave Nickle,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 508","Mobile poll/Bureau itinérant",2,3,25,17,28,7,82,294
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 509","Mobile poll/Bureau itinérant",1,5,35,16,19,1,77,205
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 510","Mobile poll/Bureau itinérant",3,4,45,33,49,3,137,333
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 600","Bobcaygeon",2,11,254,79,311,2,659,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 601","Apsley",0,8,123,49,230,0,410,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 602","Havelock-Belmont-Methuen",0,22,204,92,345,0,663,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 603","Warsaw",2,15,266,128,301,2,714,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 604","Youngs Point",0,9,174,63,211,0,457,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 605","Ennismore",0,9,198,71,334,1,613,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 606","Bridgenorth",0,6,219,66,295,3,589,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 607","Lakefield",0,15,330,122,380,1,848,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 608","Peterborough",1,15,579,164,396,3,1158,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 609","Peterborough",0,13,185,52,167,0,417,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 610","Peterborough",2,13,469,182,370,3,1039,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 611","Peterborough",0,18,406,183,296,1,904,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 612","Peterborough",0,12,324,198,137,1,672,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 613","Peterborough",0,18,638,212,309,0,1177,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 614","Peterborough",0,16,630,162,558,1,1367,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 615","Peterborough",0,18,600,176,430,3,1227,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 616","Peterborough",3,15,349,152,387,6,912,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 617","Peterborough",2,16,365,140,200,0,723,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 618","Peterborough",3,11,456,202,382,1,1055,
35084,"Peterborough--Kawartha/Peterborough--Kawartha",,"Group 1/Groupe 1",0,3,87,28,46,4,168,115
35084,"Peterborough--Kawartha/Peterborough--Kawartha",,"Group 2/Groupe 2",5,33,778,396,562,10,1784,
