Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Haley Brown,Jason Kenney,Brennan Wauters,Laura Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Midnapore/Calgary Midnapore"," 179","Calgary",0,66,175,5,14,1,261,520
48008,"Calgary Midnapore/Calgary Midnapore"," 180","Calgary",0,69,173,2,21,1,266,540
48008,"Calgary Midnapore/Calgary Midnapore"," 181","Calgary",1,57,147,5,22,0,232,450
48008,"Calgary Midnapore/Calgary Midnapore"," 182A","Calgary",0,34,94,4,14,0,146,272
48008,"Calgary Midnapore/Calgary Midnapore"," 182B","Calgary",0,54,93,4,11,0,162,287
48008,"Calgary Midnapore/Calgary Midnapore"," 183A","Calgary",0,52,122,1,7,0,182,364
48008,"Calgary Midnapore/Calgary Midnapore"," 183B","Calgary",1,55,96,4,11,1,168,347
48008,"Calgary Midnapore/Calgary Midnapore"," 184","Calgary",0,75,225,2,25,2,329,590
48008,"Calgary Midnapore/Calgary Midnapore"," 185","Calgary",0,48,114,4,13,0,179,327
48008,"Calgary Midnapore/Calgary Midnapore"," 186","Calgary",0,10,35,1,2,0,48,121
48008,"Calgary Midnapore/Calgary Midnapore"," 187A","Calgary",1,56,123,5,8,0,193,378
48008,"Calgary Midnapore/Calgary Midnapore"," 187B","Calgary",1,60,123,3,9,0,196,406
48008,"Calgary Midnapore/Calgary Midnapore"," 187C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,111
48008,"Calgary Midnapore/Calgary Midnapore"," 188A","Calgary",0,72,173,2,25,1,273,453
48008,"Calgary Midnapore/Calgary Midnapore"," 188B","Calgary",0,65,175,5,17,1,263,439
48008,"Calgary Midnapore/Calgary Midnapore"," 189","Calgary",0,49,221,10,16,1,297,466
48008,"Calgary Midnapore/Calgary Midnapore"," 190","Calgary",0,58,198,1,13,2,272,413
48008,"Calgary Midnapore/Calgary Midnapore"," 191","Calgary",0,48,141,8,13,1,211,384
48008,"Calgary Midnapore/Calgary Midnapore"," 192","Calgary",0,40,150,2,13,1,206,354
48008,"Calgary Midnapore/Calgary Midnapore"," 193","Calgary",0,46,276,1,13,1,337,524
48008,"Calgary Midnapore/Calgary Midnapore"," 194","Calgary",0,47,183,6,10,0,246,242
48008,"Calgary Midnapore/Calgary Midnapore"," 195A","Calgary",0,49,194,3,15,2,263,434
48008,"Calgary Midnapore/Calgary Midnapore"," 195B","Calgary",0,63,207,5,17,1,293,488
48008,"Calgary Midnapore/Calgary Midnapore"," 196","Calgary",0,83,178,4,15,3,283,469
48008,"Calgary Midnapore/Calgary Midnapore"," 400","Calgary",0,41,64,0,20,1,126,353
48008,"Calgary Midnapore/Calgary Midnapore"," 401","Calgary",1,87,117,12,25,0,242,509
48008,"Calgary Midnapore/Calgary Midnapore"," 402","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°137B,,,,,,,167
48008,"Calgary Midnapore/Calgary Midnapore"," 500","Mobile poll/Bureau itinérant",0,16,94,2,6,3,121,196
48008,"Calgary Midnapore/Calgary Midnapore"," 501A","Mobile poll/Bureau itinérant",5,27,158,4,8,5,207,107
48008,"Calgary Midnapore/Calgary Midnapore"," 501B","Mobile poll/Bureau itinérant",1,30,199,3,5,1,239,194
48008,"Calgary Midnapore/Calgary Midnapore"," 502","Mobile poll/Bureau itinérant",1,32,166,4,12,2,217,258
48008,"Calgary Midnapore/Calgary Midnapore"," 503A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,121
