Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Charron,David Graham,Niloufar Hedjazi,Simon-Pierre Landry,Johanne Régimbald,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 237","Sainte-Anne-des-Lacs",22,33,0,61,50,2,168,324
24038,"Laurentides--Labelle/Laurentides--Labelle"," 238","Sainte-Anne-des-Lacs",18,76,5,84,60,3,246,501
24038,"Laurentides--Labelle/Laurentides--Labelle"," 239","Sainte-Anne-des-Lacs",8,56,3,84,66,3,220,400
24038,"Laurentides--Labelle/Laurentides--Labelle"," 240","Sainte-Agathe-des-Monts",11,58,5,44,42,3,163,408
24038,"Laurentides--Labelle/Laurentides--Labelle"," 241","Sainte-Agathe-des-Monts",4,40,2,47,44,0,137,362
24038,"Laurentides--Labelle/Laurentides--Labelle"," 242","Sainte-Agathe-des-Monts",16,69,5,57,60,2,209,495
24038,"Laurentides--Labelle/Laurentides--Labelle"," 243","Sainte-Agathe-des-Monts",13,55,3,64,59,1,195,508
24038,"Laurentides--Labelle/Laurentides--Labelle"," 244","Sainte-Agathe-des-Monts",19,47,3,44,52,6,171,420
24038,"Laurentides--Labelle/Laurentides--Labelle"," 245","Sainte-Agathe-des-Monts",4,38,5,60,46,5,158,397
24038,"Laurentides--Labelle/Laurentides--Labelle"," 246","Sainte-Agathe-des-Monts",15,33,4,41,50,1,144,396
24038,"Laurentides--Labelle/Laurentides--Labelle"," 247","Sainte-Agathe-des-Monts",12,53,5,45,38,2,155,355
24038,"Laurentides--Labelle/Laurentides--Labelle"," 248","Sainte-Agathe-des-Monts",12,61,0,45,50,5,173,461
24038,"Laurentides--Labelle/Laurentides--Labelle"," 249","Sainte-Agathe-des-Monts",13,47,2,29,38,4,133,397
24038,"Laurentides--Labelle/Laurentides--Labelle"," 250","Sainte-Agathe-des-Monts",6,40,4,37,37,3,127,334
24038,"Laurentides--Labelle/Laurentides--Labelle"," 251","Sainte-Agathe-des-Monts",10,51,3,39,53,0,156,412
24038,"Laurentides--Labelle/Laurentides--Labelle"," 252","Sainte-Agathe-des-Monts",10,60,4,44,52,3,173,443
24038,"Laurentides--Labelle/Laurentides--Labelle"," 253","Notre-Dame-du-Laus",19,45,0,26,18,1,109,310
24038,"Laurentides--Labelle/Laurentides--Labelle"," 254","Notre-Dame-du-Laus",11,80,2,24,32,2,151,360
24038,"Laurentides--Labelle/Laurentides--Labelle"," 255","Notre-Dame-du-Laus",24,67,3,9,26,0,129,362
24038,"Laurentides--Labelle/Laurentides--Labelle"," 256","Notre-Dame-du-Laus",21,60,1,18,32,1,133,312
24038,"Laurentides--Labelle/Laurentides--Labelle"," 257","Lac-du-Cerf",13,67,2,34,65,7,188,409
24038,"Laurentides--Labelle/Laurentides--Labelle"," 258","Notre-Dame-de-Pontmain",13,58,1,35,72,3,182,339
24038,"Laurentides--Labelle/Laurentides--Labelle"," 259","Notre-Dame-de-Pontmain",15,61,0,23,39,1,139,293
24038,"Laurentides--Labelle/Laurentides--Labelle"," 500","Mobile poll/Bureau itinérant",8,22,0,5,18,1,54,87
24038,"Laurentides--Labelle/Laurentides--Labelle"," 501","Mobile poll/Bureau itinérant",12,66,1,18,37,1,135,169
24038,"Laurentides--Labelle/Laurentides--Labelle"," 502","Mobile poll/Bureau itinérant",10,19,3,6,7,1,46,91
24038,"Laurentides--Labelle/Laurentides--Labelle"," 503","Mobile poll/Bureau itinérant",6,21,2,10,19,2,60,106
24038,"Laurentides--Labelle/Laurentides--Labelle"," 504","Mobile poll/Bureau itinérant",6,30,1,19,7,3,66,81
24038,"Laurentides--Labelle/Laurentides--Labelle"," 505","Mobile poll/Bureau itinérant",4,33,0,5,8,4,54,54
24038,"Laurentides--Labelle/Laurentides--Labelle"," 506","Mobile poll/Bureau itinérant",5,23,0,6,4,0,38,94
24038,"Laurentides--Labelle/Laurentides--Labelle"," 507","Mobile poll/Bureau itinérant",2,15,0,5,6,0,28,51
24038,"Laurentides--Labelle/Laurentides--Labelle"," 508","Mobile poll/Bureau itinérant",23,109,1,20,7,4,164,213
24038,"Laurentides--Labelle/Laurentides--Labelle"," 509","Mobile poll/Bureau itinérant",7,42,0,17,16,2,84,109
24038,"Laurentides--Labelle/Laurentides--Labelle"," 510","Mobile poll/Bureau itinérant",15,44,5,18,20,8,110,150
24038,"Laurentides--Labelle/Laurentides--Labelle"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90B,,,,,,,76
24038,"Laurentides--Labelle/Laurentides--Labelle"," 600","Mont-Saint-Michel",18,38,0,32,61,10,159,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 601","Rivière-Rouge",64,79,8,128,145,4,428,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 602","Lac-des-Écorces",79,99,8,129,142,6,463,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 603","Ferme-Neuve",43,106,6,117,91,13,376,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 604","Mont-Laurier",69,160,14,215,240,7,705,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 605","Mont-Laurier",39,67,4,76,78,7,271,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 606","Des Ruisseaux",87,191,7,238,218,15,756,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 607","Notre-Dame-du-Laus",74,150,4,85,71,3,387,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 608","Lac-du-Cerf",24,42,1,47,39,3,156,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 609","Rivière-Rouge",80,165,16,213,249,15,738,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 610","Labelle",57,126,7,131,145,4,470,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 611","Mont-Tremblant",94,309,13,235,219,11,881,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 612","Mont-Tremblant",100,212,7,221,204,6,750,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 613","Huberdeau",55,153,5,91,123,6,433,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 614","Saint-Faustin",58,80,5,137,145,3,428,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 615","Sainte-Agathe-des-Monts",91,282,10,257,238,15,893,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 616","Sainte-Agathe-des-Monts",86,253,8,295,182,16,840,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 617","Val-David",83,267,31,362,222,12,977,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 618","Sainte-Agathe-des-Monts",29,79,10,99,100,8,325,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 619","Sainte-Marguerite-du-Lac-Masson",86,153,13,148,181,7,588,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 620","Val-Morin",63,143,14,136,125,4,485,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 621","Sainte-Adèle",72,207,5,155,140,10,589,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 622","Sainte-Adèle",110,313,14,239,215,13,904,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 623","Sainte-Adèle",88,202,16,222,174,6,708,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 624","Piedmont",120,256,9,156,123,5,669,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 625","Saint-Sauveur",144,293,4,164,109,3,717,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 626","Saint-Sauveur",114,257,11,204,165,7,758,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 627","Saint-Sauveur",84,216,5,166,121,5,597,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 628","Sainte-Anne-des-Lacs",109,194,11,284,116,5,719,
24038,"Laurentides--Labelle/Laurentides--Labelle",,"Group 1/Groupe 1",20,54,2,16,17,7,116,93
24038,"Laurentides--Labelle/Laurentides--Labelle",,"Group 2/Groupe 2",242,445,35,619,497,36,1874,
