Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Andrew Omowole Akpata,Paul Dewar,Dean T. Harris,Damian Konstantinakos,Conrad Lukawski,Catherine Mary McKenna,Tom Milroy,Stuart Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 136","Ottawa",0,96,2,46,0,99,11,0,1,255,438
35075,"Ottawa Centre/Ottawa-Centre"," 137","Ottawa",0,88,0,77,1,130,8,0,0,304,533
35075,"Ottawa Centre/Ottawa-Centre"," 138","Ottawa",0,87,1,52,1,128,4,1,0,274,510
35075,"Ottawa Centre/Ottawa-Centre"," 139","Ottawa",0,103,2,55,2,136,7,2,1,308,428
35075,"Ottawa Centre/Ottawa-Centre"," 140","Ottawa",3,86,8,67,1,144,10,1,2,322,468
35075,"Ottawa Centre/Ottawa-Centre"," 141","Ottawa",0,71,3,36,1,124,7,1,2,245,502
35075,"Ottawa Centre/Ottawa-Centre"," 142","Ottawa",3,84,2,32,0,109,9,1,2,242,425
35075,"Ottawa Centre/Ottawa-Centre"," 143","Ottawa",1,104,1,35,1,87,4,0,0,233,411
35075,"Ottawa Centre/Ottawa-Centre"," 144","Ottawa",0,80,0,39,0,95,3,0,2,219,396
35075,"Ottawa Centre/Ottawa-Centre"," 145","Ottawa",0,59,1,38,0,92,10,0,0,200,372
35075,"Ottawa Centre/Ottawa-Centre"," 146","Ottawa",1,78,1,26,0,96,8,0,0,210,345
35075,"Ottawa Centre/Ottawa-Centre"," 147","Ottawa",0,82,1,42,0,79,5,0,0,209,399
35075,"Ottawa Centre/Ottawa-Centre"," 148","Ottawa",0,74,1,29,0,92,7,0,1,204,362
35075,"Ottawa Centre/Ottawa-Centre"," 149","Ottawa",0,62,0,48,0,79,10,0,1,200,404
35075,"Ottawa Centre/Ottawa-Centre"," 150","Ottawa",0,72,3,63,0,110,5,0,0,253,478
35075,"Ottawa Centre/Ottawa-Centre"," 151","Ottawa",0,55,1,51,0,75,6,0,2,190,258
35075,"Ottawa Centre/Ottawa-Centre"," 152","Ottawa",0,75,0,33,0,128,7,0,0,243,438
35075,"Ottawa Centre/Ottawa-Centre"," 153","Ottawa",0,76,0,36,1,103,15,0,0,231,402
35075,"Ottawa Centre/Ottawa-Centre"," 154","Ottawa",1,60,1,36,0,98,3,0,1,200,428
35075,"Ottawa Centre/Ottawa-Centre"," 155","Ottawa",1,50,0,30,0,73,2,0,1,157,432
35075,"Ottawa Centre/Ottawa-Centre"," 156","Ottawa",1,65,4,56,0,85,6,0,1,218,427
35075,"Ottawa Centre/Ottawa-Centre"," 157","Ottawa",0,71,3,17,0,78,5,0,0,174,396
35075,"Ottawa Centre/Ottawa-Centre"," 158","Ottawa",0,59,0,38,0,70,3,0,1,171,326
35075,"Ottawa Centre/Ottawa-Centre"," 159A","Ottawa",0,82,1,37,1,76,9,0,0,206,376
35075,"Ottawa Centre/Ottawa-Centre"," 159B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,,59
35075,"Ottawa Centre/Ottawa-Centre"," 160","Ottawa",1,75,3,45,0,112,3,0,2,241,393
35075,"Ottawa Centre/Ottawa-Centre"," 161","Ottawa",1,70,1,41,1,72,8,0,4,198,367
35075,"Ottawa Centre/Ottawa-Centre"," 162","Ottawa",0,65,2,28,2,81,4,2,0,184,324
35075,"Ottawa Centre/Ottawa-Centre"," 163","Ottawa",1,56,1,45,3,108,3,0,1,218,481
35075,"Ottawa Centre/Ottawa-Centre"," 164","Ottawa",0,57,0,28,1,99,3,0,0,188,416
