Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Érick Gauthier,Linda Lapointe,Laurin Liu,Félix Pinel,Luis Quinteros,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 603","Boisbriand",114,300,356,251,3,11,16,1051,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 604","Boisbriand",123,325,299,225,5,9,18,1004,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 605","St. Eustache",134,256,273,208,5,10,17,903,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 606","St. Eustache",94,160,288,242,2,11,15,812,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 607","St. Eustache",119,215,279,228,3,17,15,876,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 608","St. Eustache",114,221,347,280,2,22,18,1004,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 609","St. Eustache",99,210,273,250,1,9,16,858,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 610","St. Eustache",118,303,356,236,3,9,17,1042,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 611","Deux-Montagnes",116,282,359,189,3,20,9,978,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 612","Deux-Montagnes",124,314,416,208,5,16,20,1103,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles",,"Group 1/Groupe 1",22,36,16,7,0,2,2,85,59
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles",,"Group 2/Groupe 2",130,280,546,213,5,22,23,1219,
