Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Allen,Lorne Gershuny,Mark Jeftovic,Peggy Nash,Terry Parker,Adam Phipps,Carol Royer,Arif Virani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 129","Toronto",25,0,1,65,0,4,2,83,1,181,328
35081,"Parkdale--High Park/Parkdale--High Park"," 130","York",63,1,0,103,0,6,0,106,1,280,481
35081,"Parkdale--High Park/Parkdale--High Park"," 131","York",51,0,3,103,0,11,0,119,1,288,530
35081,"Parkdale--High Park/Parkdale--High Park"," 132","York",45,0,2,91,0,4,0,117,0,259,446
35081,"Parkdale--High Park/Parkdale--High Park"," 133","York",52,1,1,58,3,4,0,89,0,208,360
35081,"Parkdale--High Park/Parkdale--High Park"," 134","York",33,0,2,75,0,5,0,84,0,199,370
35081,"Parkdale--High Park/Parkdale--High Park"," 135","York",42,0,1,73,0,12,0,137,0,265,499
35081,"Parkdale--High Park/Parkdale--High Park"," 136","York",83,0,1,57,1,13,0,103,2,260,544
35081,"Parkdale--High Park/Parkdale--High Park"," 137","York",Void/Supprimé,,,,,,,,,,
35081,"Parkdale--High Park/Parkdale--High Park"," 138A","York",22,0,1,48,0,0,0,44,0,115,157
35081,"Parkdale--High Park/Parkdale--High Park"," 138B","York",Merged with No./Fusionné avec le n°139A,,,,,,,,,,23
35081,"Parkdale--High Park/Parkdale--High Park"," 139A","York",40,0,7,60,1,3,1,80,2,194,273
35081,"Parkdale--High Park/Parkdale--High Park"," 139B","York",Merged with No./Fusionné avec le n°138A,,,,,,,,,,52
35081,"Parkdale--High Park/Parkdale--High Park"," 140","York",55,1,6,104,2,3,0,122,4,297,471
35081,"Parkdale--High Park/Parkdale--High Park"," 141","York",61,0,1,105,2,7,0,120,1,297,458
35081,"Parkdale--High Park/Parkdale--High Park"," 142","York",63,0,5,66,0,2,0,113,6,255,473
35081,"Parkdale--High Park/Parkdale--High Park"," 143","Toronto",31,0,1,63,0,4,2,105,1,207,362
35081,"Parkdale--High Park/Parkdale--High Park"," 144","Toronto",49,0,2,67,0,6,0,117,1,242,438
35081,"Parkdale--High Park/Parkdale--High Park"," 145","Toronto",29,1,0,64,0,5,2,78,0,179,242
35081,"Parkdale--High Park/Parkdale--High Park"," 146","Toronto",54,2,2,86,2,6,0,112,1,265,377
35081,"Parkdale--High Park/Parkdale--High Park"," 147","York",50,0,1,56,0,3,0,78,0,188,332
35081,"Parkdale--High Park/Parkdale--High Park"," 148A","York",52,0,0,45,0,12,0,114,1,224,397
35081,"Parkdale--High Park/Parkdale--High Park"," 148B","York",27,0,1,17,0,1,0,54,0,100,150
35081,"Parkdale--High Park/Parkdale--High Park"," 148C","York",50,0,4,33,1,1,0,99,2,190,274
35081,"Parkdale--High Park/Parkdale--High Park"," 149","Toronto",37,0,0,71,1,6,0,86,0,201,354
35081,"Parkdale--High Park/Parkdale--High Park"," 150","Toronto",49,0,0,65,0,2,0,58,0,174,319
35081,"Parkdale--High Park/Parkdale--High Park"," 151","Toronto",46,0,3,44,0,11,0,81,0,185,379
35081,"Parkdale--High Park/Parkdale--High Park"," 152","Toronto",38,0,2,42,1,2,0,94,0,179,330
35081,"Parkdale--High Park/Parkdale--High Park"," 153","Toronto",63,0,2,48,0,5,0,72,0,190,374
35081,"Parkdale--High Park/Parkdale--High Park"," 154","Toronto",57,0,2,56,1,7,1,88,1,213,425
35081,"Parkdale--High Park/Parkdale--High Park"," 155","Toronto",33,0,0,71,0,7,1,140,0,252,441
35081,"Parkdale--High Park/Parkdale--High Park"," 156","Toronto",69,0,3,99,0,10,0,114,2,297,518
35081,"Parkdale--High Park/Parkdale--High Park"," 157","Toronto",32,1,1,66,1,10,0,119,0,230,462
