Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Barré,Pierre Chénier,Philippe Cloutier,Sadia Groguhé,Mario Leclerc,Matthew Iakov Liberman,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 200","Longueuil",10,2,42,41,6,0,48,1,150,277
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 201","Longueuil",19,0,53,43,3,0,74,4,196,323
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 202","Longueuil",40,1,91,82,6,6,143,8,377,686
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 400","Longueuil",23,0,21,31,7,0,84,2,168,293
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 401","Longueuil",29,0,29,63,10,1,78,2,212,352
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 402","Longueuil",Merged with No./Fusionné avec le n°43B,,,,,,,,,297
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 403","Longueuil",Merged with No./Fusionné avec le n°42,,,,,,,,,145
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 404","Longueuil",23,3,40,26,5,3,85,6,191,257
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 500","Mobile poll/Bureau itinérant",6,3,29,11,0,0,33,4,86,129
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 501","Mobile poll/Bureau itinérant",5,0,9,5,2,1,21,1,44,138
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 600","Longueuil",103,3,201,191,21,2,238,10,769,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 601","Longueuil",81,6,231,249,20,0,186,23,796,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 602","Longueuil",80,3,260,243,21,10,195,8,820,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 603","Longueuil",80,1,220,172,26,7,160,15,681,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 604","Longueuil",59,5,203,157,18,3,161,18,624,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 605","Longueuil",101,0,257,195,14,0,185,11,763,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 606","Longueuil",110,2,326,245,27,4,248,15,977,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 607","Longueuil",70,2,186,150,19,4,173,19,623,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 608","Longueuil",68,4,158,159,28,5,193,16,631,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 609","Longueuil",128,5,130,268,12,1,484,4,1032,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 610","Longueuil",124,3,100,206,17,5,474,6,935,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 611","Longueuil",123,4,187,226,20,1,342,18,921,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 612","Longueuil",115,0,249,276,20,7,316,17,1000,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 613","Longueuil",135,0,251,293,17,3,424,13,1136,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne",,"Group 1/Groupe 1",27,1,14,24,6,1,68,17,158,120
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne",,"Group 2/Groupe 2",110,11,250,363,37,5,321,31,1128,
