Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élise Gauthier,Denis Lemieux,Dany Morin,Caroline Ste-Marie,Dany St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 115","Saguenay",53,48,53,41,7,3,205,398
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 116","Saguenay",45,66,76,30,6,5,228,476
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 117","Saint-Félix-d'Otis",67,91,95,30,0,5,288,428
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 118","Saint-Félix-d'Otis",64,56,80,19,2,4,225,411
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 119","Rivière-Éternité",37,73,78,31,2,2,223,403
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 120","Petit-Saguenay",33,52,65,11,5,0,166,325
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 121","Petit-Saguenay",23,62,44,14,4,2,149,248
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 122","L'Anse-Saint-Jean",12,43,72,13,1,0,141,289
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 123","L'Anse-Saint-Jean",31,57,45,18,5,4,160,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 124","L'Anse-Saint-Jean",20,61,58,23,5,2,169,369
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 125","Ferland-et-Boilleau",65,63,92,49,3,6,278,323
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 126","Saguenay",53,46,60,20,3,5,187,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 127","Saguenay",44,60,51,22,1,5,183,408
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 128","Saguenay",34,61,50,40,6,3,194,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 129","Saguenay",41,57,54,56,7,1,216,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 130","Saguenay",43,66,66,43,4,3,225,423
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 131","Saguenay",32,36,51,36,3,3,161,334
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 132","Ferland-et-Boilleau",Merged with No./Fusionné avec le n°125,,,,,,,125
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 133","Saguenay",35,64,56,36,2,3,196,366
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 134","Saguenay",16,30,35,25,2,3,111,345
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 135","Saguenay",8,28,28,80,5,1,150,392
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 136","Saguenay",31,35,55,53,2,2,178,379
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 137","Saguenay",34,48,52,38,5,2,179,360
