Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gisèle Dallaire,Sabin Gaudreault,Denis Lebel,Laurence Requilé,Sabin Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 220","Lac-Bouchette",38,31,77,0,28,0,174,314
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 221","Lac-Bouchette",51,34,59,3,29,0,176,321
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 222","Lac-Bouchette",51,38,64,2,40,1,196,336
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 223","Métabetchouan--Lac-à-la-Croix",89,45,56,0,24,5,219,348
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 224","Métabetchouan--Lac-à-la-Croix",55,46,57,0,37,3,198,367
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 400","Alma",29,36,59,3,79,6,212,197
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 500","Mobile poll/Bureau itinérant",17,16,29,1,31,1,95,83
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 501","Mobile poll/Bureau itinérant",44,38,36,1,68,4,191,89
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 502","Mobile poll/Bureau itinérant",30,19,27,2,45,0,123,123
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 503A","Mobile poll/Bureau itinérant",16,18,28,0,22,3,87,67
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,13
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 504","Mobile poll/Bureau itinérant",22,18,63,1,42,3,149,208
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 505","Mobile poll/Bureau itinérant",19,20,75,2,49,4,169,206
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 506A","Mobile poll/Bureau itinérant",4,8,12,0,16,1,41,94
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 506B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,10
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 507","Mobile poll/Bureau itinérant",7,1,25,2,11,0,46,70
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 508","Mobile poll/Bureau itinérant",11,17,86,3,57,5,179,204
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 509A","Mobile poll/Bureau itinérant",15,21,99,2,30,4,171,140
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 509B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509A,,,,,,,39
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 510A","Mobile poll/Bureau itinérant",13,13,49,1,27,0,103,160
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 510B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509A,,,,,,,30
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 511","Mobile poll/Bureau itinérant",8,18,17,1,26,4,74,67
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 512","Mobile poll/Bureau itinérant",7,10,18,1,11,3,50,136
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 513","Mobile poll/Bureau itinérant",13,10,32,0,26,3,84,122
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 600","L'Ascension",54,39,53,6,22,2,176,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 601","Normandin",131,75,201,5,73,6,491,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 602","Girardville",74,61,227,5,73,4,444,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 603","Notre-Dame-de-Lorette",174,165,327,9,135,13,823,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 604","Dolbeau-Mistassini",137,95,243,7,108,9,599,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 605","Saint-Félicien",72,73,171,4,69,7,396,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 606","Saint-Ludger-de-Milot",42,25,77,6,41,2,193,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 607","Alma",123,66,126,2,73,5,395,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 608","Alma",156,121,155,11,98,9,550,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 609","Alma",225,146,202,9,85,9,676,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 610","Alma",233,154,273,10,131,8,809,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 611","Saint-Gédéon",106,76,118,3,52,10,365,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 612","Hébertville-Station",69,35,101,4,40,2,251,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 613","Métabetchouan--Lac-à-la-Croix",136,71,166,8,113,6,500,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 614","Chambord",93,63,147,6,46,3,358,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 615","Roberval",153,96,461,4,65,11,790,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 616","Saint-Prime",101,34,163,7,48,3,356,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 617","Saint-Félicien",184,117,465,12,140,10,928,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 618","La Doré",24,21,88,1,30,4,168,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 619","Lac-Ashuapmushuan",103,72,371,68,6,4,624,
24035,"Lac-Saint-Jean/Lac-Saint-Jean",,"Group 1/Groupe 1",27,13,66,11,57,11,185,101
24035,"Lac-Saint-Jean/Lac-Saint-Jean",,"Group 2/Groupe 2",714,398,963,30,338,48,2491,
