Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Brandt,Rob Ferguson,Marc Laferriere,Phil McColeman,Danielle Takacs,The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 168","Brantford",8,1,93,74,94,6,3,279,444
35013,"Brantford--Brant/Brantford--Brant"," 169","Brantford",5,1,60,48,58,1,0,173,436
35013,"Brantford--Brant/Brantford--Brant"," 170","Brantford",6,2,70,43,51,0,1,173,333
35013,"Brantford--Brant/Brantford--Brant"," 171","Brantford",10,2,82,73,59,0,0,226,448
35013,"Brantford--Brant/Brantford--Brant"," 172","Brantford",7,4,84,74,71,2,1,243,442
35013,"Brantford--Brant/Brantford--Brant"," 173","Brantford",7,2,77,98,72,0,1,257,535
35013,"Brantford--Brant/Brantford--Brant"," 174","Brantford",5,2,63,112,65,0,0,247,408
35013,"Brantford--Brant/Brantford--Brant"," 175","Brant",8,2,39,144,82,0,1,276,445
35013,"Brantford--Brant/Brantford--Brant"," 176","Brantford",6,2,62,85,55,1,3,214,457
35013,"Brantford--Brant/Brantford--Brant"," 177","Brant",4,2,67,147,79,0,0,299,433
35013,"Brantford--Brant/Brantford--Brant"," 178","Brant",5,6,25,128,82,0,0,246,450
35013,"Brantford--Brant/Brantford--Brant"," 179","Brantford",3,0,52,79,80,0,0,214,391
35013,"Brantford--Brant/Brantford--Brant"," 180","Brantford",2,1,44,66,47,1,2,163,297
35013,"Brantford--Brant/Brantford--Brant"," 181","Brantford",6,2,60,52,54,0,1,175,312
35013,"Brantford--Brant/Brantford--Brant"," 182","Brantford",2,1,46,73,48,0,0,170,303
35013,"Brantford--Brant/Brantford--Brant"," 183","Brantford",7,0,40,53,43,0,1,144,336
35013,"Brantford--Brant/Brantford--Brant"," 184","Brantford",12,0,45,48,45,0,1,151,328
35013,"Brantford--Brant/Brantford--Brant"," 185","Brantford",2,3,65,32,70,0,0,172,499
35013,"Brantford--Brant/Brantford--Brant"," 186","Brantford",1,3,74,61,56,1,1,197,374
35013,"Brantford--Brant/Brantford--Brant"," 187","Brantford",8,1,48,83,68,2,1,211,405
35013,"Brantford--Brant/Brantford--Brant"," 188","Brantford",1,2,64,116,77,1,2,263,469
35013,"Brantford--Brant/Brantford--Brant"," 189","Brant",6,1,38,161,103,0,1,310,505
35013,"Brantford--Brant/Brantford--Brant"," 190","Six Nations (Part) 40",1,0,65,36,27,0,0,129,293
35013,"Brantford--Brant/Brantford--Brant"," 191","Six Nations (Part) 40",4,1,51,27,27,1,0,111,274
35013,"Brantford--Brant/Brantford--Brant"," 192","Brantford",4,3,78,57,42,0,1,185,382
35013,"Brantford--Brant/Brantford--Brant"," 193","Brantford",6,1,88,46,49,0,1,191,415
35013,"Brantford--Brant/Brantford--Brant"," 194","Brantford",1,0,62,38,46,0,0,147,338
35013,"Brantford--Brant/Brantford--Brant"," 195","Brantford",7,2,74,83,44,0,0,210,378
35013,"Brantford--Brant/Brantford--Brant"," 196","Brantford",3,0,77,71,30,1,4,186,355
35013,"Brantford--Brant/Brantford--Brant"," 197","Brantford",6,1,99,54,58,0,0,218,373
35013,"Brantford--Brant/Brantford--Brant"," 198","Brantford",7,1,61,55,50,1,0,175,380
35013,"Brantford--Brant/Brantford--Brant"," 199","Brantford",4,1,88,78,46,0,0,217,376
35013,"Brantford--Brant/Brantford--Brant"," 200","Brant",7,1,22,98,47,0,0,175,293
35013,"Brantford--Brant/Brantford--Brant"," 201","Brant",11,2,38,143,54,1,0,249,450
35013,"Brantford--Brant/Brantford--Brant"," 202","Brant",12,6,28,152,65,0,3,266,460
