Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Barker,Alastair Haythornthwaite,Fran Hunt-Jinnouchi,Luke Krayenhoff,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 146","Langford",65,0,48,73,88,1,275,499
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 147","Langford",44,0,42,61,78,0,225,473
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 148","Millstream",45,1,51,63,59,0,219,451
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 149","Langford",37,0,41,48,59,1,186,396
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 150","Sooke 1",73,0,23,74,43,0,213,448
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 151","Sooke 1",72,0,27,88,42,0,229,464
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 152","Sooke 1",99,1,34,105,48,1,288,517
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 153","Langford",64,0,26,80,64,0,234,472
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 154","Sooke 1",68,0,21,92,65,0,246,426
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 155","Langford",38,0,39,76,60,0,213,410
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 156","Langford",50,0,57,90,95,1,293,465
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 157","Langford",56,2,55,93,87,0,293,517
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 158","Langford",27,1,77,79,58,2,244,431
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 159","Langford",37,0,55,78,81,0,251,439
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 160","Langford",38,4,27,93,67,0,229,447
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 161","Langford",54,2,37,95,80,0,268,495
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 162","Langford",54,1,48,63,85,0,251,486
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 163A","Langford",34,1,32,68,55,0,190,335
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 163B","Langford",48,0,30,68,42,0,188,302
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 164","Langford",25,0,48,44,65,1,183,288
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 165","Langford",47,0,44,60,117,1,269,434
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 166","Langford",61,2,59,85,96,0,303,410
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 167","Langford",60,0,47,79,94,0,280,480
