Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harvey Edward Anstey,Brent Allan Bouteiller,Michael Chong,Anne Gajerski-Cauley,Don Trant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 106","Halton Hills",2,2,81,7,68,0,160,311
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 107A","Halton Hills",Merged with No./Fusionné avec le n°106,,,,,,,12
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 107B","Halton Hills",0,9,62,18,72,0,161,330
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 108","Halton Hills",0,5,102,10,66,1,184,357
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 109","Halton Hills",3,4,120,16,86,2,231,399
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 110","Halton Hills",1,2,98,26,81,2,210,391
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 111","Halton Hills",1,6,100,17,62,0,186,388
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 112","Halton Hills",0,7,84,14,42,1,148,294
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 113","Halton Hills",0,3,121,8,101,0,233,413
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 114","Halton Hills",0,5,93,22,81,0,201,340
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 115","Halton Hills",0,5,155,17,112,0,289,484
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 116","Halton Hills",3,4,134,17,104,0,262,430
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 117","Halton Hills",1,3,100,15,97,0,216,372
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 118","Halton Hills",2,6,100,17,80,0,205,364
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 119","Halton Hills",2,7,90,15,86,0,200,342
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 120","Halton Hills",0,5,95,22,76,0,198,372
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 121","Halton Hills",2,3,89,28,79,0,201,304
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 122","Halton Hills",1,3,115,27,68,0,214,363
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 123","Halton Hills",0,3,110,15,81,0,209,351
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 124","Halton Hills",0,12,128,22,76,1,239,440
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 125","Halton Hills",0,11,111,13,128,3,266,432
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 126","Halton Hills",0,6,125,6,91,2,230,429
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 127","Halton Hills",0,9,118,11,83,2,223,381
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 128","Halton Hills",0,10,115,15,87,0,227,413
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 129","Halton Hills",0,3,138,23,100,0,264,426
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 130","Halton Hills",0,7,153,11,96,0,267,531
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 131","Halton Hills",0,3,123,20,86,1,233,461
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 132","Halton Hills",1,7,144,16,79,1,248,421
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 133","Halton Hills",0,9,123,20,81,0,233,430
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 134","Halton Hills",1,2,106,7,63,0,179,327
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 135","Halton Hills",0,2,101,4,68,2,177,324
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 136","Halton Hills",0,3,126,14,80,0,223,393
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 137A","Halton Hills",2,2,144,14,87,0,249,414
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 137B","Halton Hills",0,4,103,10,55,0,172,318
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 138","Halton Hills",0,9,126,12,93,0,240,448
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 139","Halton Hills",0,17,105,5,78,0,205,353
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 140","Halton Hills",0,5,106,23,77,0,211,386
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 141","Halton Hills",1,5,107,19,98,0,230,403
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 142","Halton Hills",1,8,145,20,91,3,268,490
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 143","Halton Hills",0,4,161,26,85,2,278,520
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 144","Halton Hills",0,5,135,13,79,0,232,464
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 145","Halton Hills",0,5,133,12,80,0,230,430
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 146","Halton Hills",0,7,159,11,96,0,273,497
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 147","Halton Hills",0,1,189,10,95,0,295,521
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 148","Halton Hills",2,8,91,26,96,2,225,421
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 149","Halton Hills",1,12,118,15,124,1,271,454
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 150","Halton Hills",1,6,113,27,114,2,263,476
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 151","Halton Hills",0,6,130,24,127,0,287,443
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 152","Halton Hills",0,12,141,18,130,0,301,491
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 153","Halton Hills",0,5,176,21,114,0,316,496
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 154","Halton Hills",1,7,131,14,119,1,273,458
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 155","Halton Hills",0,7,130,4,92,0,233,386
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 156","Halton Hills",1,1,143,10,73,0,228,433
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 157","Halton Hills",2,6,155,19,80,1,263,452
