Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Banigan,Jacob Kearey-Moreland,Liz Riley,Bruce Stanton,Peter Stubbins,Scott Whittaker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 75","Penetanguishene",27,0,86,50,7,0,0,170,337
35100,"Simcoe North/Simcoe-Nord"," 76","Penetanguishene",24,0,71,50,6,1,0,152,319
35100,"Simcoe North/Simcoe-Nord"," 77","Penetanguishene",22,1,70,42,12,2,0,149,340
35100,"Simcoe North/Simcoe-Nord"," 78","Penetanguishene",22,1,90,49,10,0,0,172,346
35100,"Simcoe North/Simcoe-Nord"," 79","Tiny",12,0,70,39,11,0,0,132,285
35100,"Simcoe North/Simcoe-Nord"," 80","Tiny",19,0,58,47,7,0,0,131,296
35100,"Simcoe North/Simcoe-Nord"," 81","Tiny",19,1,57,64,20,0,1,162,338
35100,"Simcoe North/Simcoe-Nord"," 82","Tiny",18,0,89,56,12,1,1,177,341
35100,"Simcoe North/Simcoe-Nord"," 83","Tiny",24,0,69,47,7,0,0,147,340
35100,"Simcoe North/Simcoe-Nord"," 84","Christian Island 30",71,0,183,20,5,0,0,279,421
35100,"Simcoe North/Simcoe-Nord"," 85","Tiny",25,1,83,54,14,0,1,178,312
35100,"Simcoe North/Simcoe-Nord"," 86","Tiny",11,0,78,45,11,2,0,147,338
35100,"Simcoe North/Simcoe-Nord"," 87A","Tiny",35,2,173,91,26,3,1,331,270
35100,"Simcoe North/Simcoe-Nord"," 87B","Mobile poll/Bureau itinérant",7,1,48,27,3,2,2,90,53
35100,"Simcoe North/Simcoe-Nord"," 88","Tiny",30,0,61,52,4,0,0,147,303
35100,"Simcoe North/Simcoe-Nord"," 89","Tiny",Merged with No./Fusionné avec le n°87A,,,,,,,,298
35100,"Simcoe North/Simcoe-Nord"," 90","Tiny",18,2,92,52,12,0,0,176,336
35100,"Simcoe North/Simcoe-Nord"," 91","Tiny",15,0,74,52,7,0,1,149,290
35100,"Simcoe North/Simcoe-Nord"," 92","Penetanguishene",30,0,115,82,14,0,0,241,272
35100,"Simcoe North/Simcoe-Nord"," 93","Penetanguishene",5,0,82,65,12,0,0,164,403
35100,"Simcoe North/Simcoe-Nord"," 94","Penetanguishene",19,1,74,47,7,0,2,150,378
35100,"Simcoe North/Simcoe-Nord"," 95","Penetanguishene",23,1,77,49,12,0,0,162,391
35100,"Simcoe North/Simcoe-Nord"," 96A","Penetanguishene",16,1,111,70,6,0,1,205,411
35100,"Simcoe North/Simcoe-Nord"," 96B","Penetanguishene",15,1,81,37,6,1,0,141,272
35100,"Simcoe North/Simcoe-Nord"," 97","Penetanguishene",Merged with No./Fusionné avec le n°92,,,,,,,,337
35100,"Simcoe North/Simcoe-Nord"," 98","Penetanguishene",22,1,75,59,10,1,0,168,355
35100,"Simcoe North/Simcoe-Nord"," 99","Penetanguishene",15,0,75,88,8,1,0,187,387
35100,"Simcoe North/Simcoe-Nord"," 100","Penetanguishene",11,0,74,47,12,1,2,147,303
35100,"Simcoe North/Simcoe-Nord"," 101","Penetanguishene",20,1,106,56,17,2,2,204,400
35100,"Simcoe North/Simcoe-Nord"," 102","Penetanguishene",24,0,87,62,8,1,0,182,373
35100,"Simcoe North/Simcoe-Nord"," 103","Penetanguishene",20,0,81,53,9,0,1,164,421
35100,"Simcoe North/Simcoe-Nord"," 104","Penetanguishene",31,1,84,63,12,0,1,192,375
35100,"Simcoe North/Simcoe-Nord"," 105","Midland",24,1,92,71,25,1,1,215,453
35100,"Simcoe North/Simcoe-Nord"," 106","Midland",24,1,101,65,19,3,2,215,481
35100,"Simcoe North/Simcoe-Nord"," 107","Midland",21,0,83,66,13,0,0,183,440
35100,"Simcoe North/Simcoe-Nord"," 108","Midland",23,0,74,34,5,1,0,137,398
35100,"Simcoe North/Simcoe-Nord"," 109","Midland",20,1,116,110,10,4,1,262,537
35100,"Simcoe North/Simcoe-Nord"," 110","Midland",15,0,95,96,16,0,1,223,509
35100,"Simcoe North/Simcoe-Nord"," 111","Tay",27,0,47,50,7,0,0,131,275
35100,"Simcoe North/Simcoe-Nord"," 112","Tay",22,1,56,44,5,0,1,129,313
35100,"Simcoe North/Simcoe-Nord"," 113","Tay",40,1,51,49,6,0,0,147,294
35100,"Simcoe North/Simcoe-Nord"," 114","Tay",32,3,122,111,12,1,1,282,285
35100,"Simcoe North/Simcoe-Nord"," 115","Tay",13,0,55,46,7,1,1,123,329
35100,"Simcoe North/Simcoe-Nord"," 116","Tay",Merged with No./Fusionné avec le n°114,,,,,,,,289
35100,"Simcoe North/Simcoe-Nord"," 117","Midland",23,1,63,63,10,0,3,163,398
35100,"Simcoe North/Simcoe-Nord"," 118","Midland",14,0,72,57,11,3,0,157,365
35100,"Simcoe North/Simcoe-Nord"," 119","Midland",22,2,65,53,8,0,1,151,364
35100,"Simcoe North/Simcoe-Nord"," 120A","Midland",18,0,59,57,6,1,0,141,337
35100,"Simcoe North/Simcoe-Nord"," 120B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°87B,,,,,,,,46
35100,"Simcoe North/Simcoe-Nord"," 121","Midland",33,1,75,55,17,1,2,184,446
35100,"Simcoe North/Simcoe-Nord"," 122","Midland",15,1,74,59,14,1,1,165,405
35100,"Simcoe North/Simcoe-Nord"," 123A","Midland",22,1,72,48,6,0,0,149,326
35100,"Simcoe North/Simcoe-Nord"," 123B","Midland",10,4,26,35,6,1,4,86,166
35100,"Simcoe North/Simcoe-Nord"," 124","Midland",30,0,75,47,13,6,3,174,401
35100,"Simcoe North/Simcoe-Nord"," 125","Midland",15,0,76,42,17,0,3,153,412
35100,"Simcoe North/Simcoe-Nord"," 126","Midland",15,0,76,48,5,0,0,144,402
35100,"Simcoe North/Simcoe-Nord"," 127","Midland",22,1,56,48,6,0,0,133,349
35100,"Simcoe North/Simcoe-Nord"," 128","Midland",16,0,68,55,7,0,1,147,360
35100,"Simcoe North/Simcoe-Nord"," 129","Midland",20,0,59,50,14,0,1,144,348
35100,"Simcoe North/Simcoe-Nord"," 130","Midland",34,2,143,86,16,2,0,283,347
35100,"Simcoe North/Simcoe-Nord"," 131A","Midland",Merged with No./Fusionné avec le n°130,,,,,,,,254
35100,"Simcoe North/Simcoe-Nord"," 131B","Midland",5,0,25,25,3,1,1,60,113
35100,"Simcoe North/Simcoe-Nord"," 132","Midland",32,0,90,78,14,2,1,217,459
35100,"Simcoe North/Simcoe-Nord"," 133","Midland",20,0,88,85,12,1,0,206,457
35100,"Simcoe North/Simcoe-Nord"," 134","Midland",20,0,42,30,5,1,1,99,307
35100,"Simcoe North/Simcoe-Nord"," 135","Midland",14,0,94,68,13,1,1,191,386
35100,"Simcoe North/Simcoe-Nord"," 136","Midland",23,1,97,109,16,1,2,249,504
35100,"Simcoe North/Simcoe-Nord"," 137","Tay",23,1,75,64,15,1,0,179,364
35100,"Simcoe North/Simcoe-Nord"," 138","Tay",11,0,80,90,10,0,0,191,312
35100,"Simcoe North/Simcoe-Nord"," 139","Tay",7,0,47,83,10,0,0,147,300
35100,"Simcoe North/Simcoe-Nord"," 140","Tay",28,1,46,60,15,0,0,150,326
35100,"Simcoe North/Simcoe-Nord"," 141","Tay",16,0,60,72,7,0,0,155,349
35100,"Simcoe North/Simcoe-Nord"," 142","Tay",24,0,72,96,21,0,0,213,428
35100,"Simcoe North/Simcoe-Nord"," 143","Tay",16,0,54,57,5,0,0,132,327
35100,"Simcoe North/Simcoe-Nord"," 144","Tay",11,0,67,79,9,0,0,166,335
35100,"Simcoe North/Simcoe-Nord"," 145","Tiny",18,0,62,80,13,1,0,174,328
35100,"Simcoe North/Simcoe-Nord"," 146","Tiny",10,0,25,35,6,0,1,77,167
35100,"Simcoe North/Simcoe-Nord"," 147","Tiny",13,0,82,81,9,2,0,187,410
35100,"Simcoe North/Simcoe-Nord"," 148","Tiny",15,0,89,71,17,0,0,192,384
35100,"Simcoe North/Simcoe-Nord"," 149","Tiny",19,1,92,89,9,2,0,212,369
35100,"Simcoe North/Simcoe-Nord"," 150","Tiny",17,0,77,70,4,1,0,169,315
35100,"Simcoe North/Simcoe-Nord"," 151","Tiny",16,2,86,81,12,1,1,199,339
35100,"Simcoe North/Simcoe-Nord"," 152","Tiny",19,1,62,68,11,0,0,161,343
35100,"Simcoe North/Simcoe-Nord"," 153","Tiny",26,4,175,142,18,0,1,366,324
35100,"Simcoe North/Simcoe-Nord"," 154","Tiny",Merged with No./Fusionné avec le n°153,,,,,,,,348
35100,"Simcoe North/Simcoe-Nord"," 155","Tiny",14,0,87,96,8,0,1,206,325
35100,"Simcoe North/Simcoe-Nord"," 156","Tiny",14,0,63,74,15,0,0,166,278
35100,"Simcoe North/Simcoe-Nord"," 157","Tiny",18,0,46,104,16,0,0,184,311
35100,"Simcoe North/Simcoe-Nord"," 158","Tiny",7,2,97,73,8,2,0,189,333
35100,"Simcoe North/Simcoe-Nord"," 159","Tiny",20,1,71,92,5,0,1,190,380
35100,"Simcoe North/Simcoe-Nord"," 160","Tiny",25,0,76,64,13,0,0,178,337
35100,"Simcoe North/Simcoe-Nord"," 161","Severn",28,2,50,118,14,1,2,215,378
35100,"Simcoe North/Simcoe-Nord"," 162","Severn",17,2,48,90,11,1,0,169,323
35100,"Simcoe North/Simcoe-Nord"," 163","Severn",37,0,70,107,8,1,0,223,399
35100,"Simcoe North/Simcoe-Nord"," 164","Severn",17,4,66,145,13,1,0,246,453
35100,"Simcoe North/Simcoe-Nord"," 165","Oro-Medonte",18,1,63,111,11,1,0,205,383
35100,"Simcoe North/Simcoe-Nord"," 166","Oro-Medonte",21,0,72,126,10,2,1,232,434
35100,"Simcoe North/Simcoe-Nord"," 167","Oro-Medonte",21,2,40,87,8,1,1,160,327
35100,"Simcoe North/Simcoe-Nord"," 168","Oro-Medonte",20,4,70,141,2,1,1,239,438
35100,"Simcoe North/Simcoe-Nord"," 169","Oro-Medonte",9,4,51,114,5,2,2,187,329
35100,"Simcoe North/Simcoe-Nord"," 170","Oro-Medonte",23,1,73,123,4,0,0,224,441
35100,"Simcoe North/Simcoe-Nord"," 171","Oro-Medonte",18,4,94,169,3,1,0,289,384
35100,"Simcoe North/Simcoe-Nord"," 172","Oro-Medonte",9,3,58,124,9,3,0,206,310
35100,"Simcoe North/Simcoe-Nord"," 173","Oro-Medonte",11,3,55,110,6,2,0,187,318
35100,"Simcoe North/Simcoe-Nord"," 174","Severn",33,3,82,135,11,4,0,268,485
