Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marjolaine Boutin-Sweet,Marianne Breton Fontaine,Christine Dandenault,Alexandre Dang,Nicolas Lemay,Simon Marchand,Marwah Rizqy,Anne-Marie Saint-Cerny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 114","Montréal",97,3,2,23,1,77,81,5,8,297,455
24028,"Hochelaga/Hochelaga"," 115","Montréal",100,0,1,14,1,60,74,10,2,262,483
24028,"Hochelaga/Hochelaga"," 116","Montréal",65,0,0,2,3,67,46,4,2,189,410
24028,"Hochelaga/Hochelaga"," 117","Montréal",62,0,2,8,1,50,38,5,6,172,323
24028,"Hochelaga/Hochelaga"," 118","Montréal",118,0,0,8,3,47,56,10,2,244,427
24028,"Hochelaga/Hochelaga"," 119","Montréal",82,0,0,3,1,64,56,5,4,215,390
24028,"Hochelaga/Hochelaga"," 120","Montréal",87,1,1,14,0,74,83,6,5,271,454
24028,"Hochelaga/Hochelaga"," 121","Montréal",80,0,0,12,1,70,80,12,10,265,488
24028,"Hochelaga/Hochelaga"," 122","Montréal",53,1,1,0,2,54,22,5,1,139,301
24028,"Hochelaga/Hochelaga"," 123","Montréal",67,2,2,2,2,71,36,9,7,198,450
24028,"Hochelaga/Hochelaga"," 124","Montréal",51,1,2,4,3,50,39,8,1,159,430
24028,"Hochelaga/Hochelaga"," 125A","Montréal",47,2,0,5,0,35,27,6,4,126,259
24028,"Hochelaga/Hochelaga"," 125B","Montréal",36,1,0,2,0,42,31,7,4,123,260
24028,"Hochelaga/Hochelaga"," 126","Montréal",59,1,1,3,4,62,39,11,2,182,457
24028,"Hochelaga/Hochelaga"," 127","Montréal",58,0,1,11,1,32,35,3,5,146,401
24028,"Hochelaga/Hochelaga"," 128","Montréal",71,0,0,6,1,55,46,8,0,187,406
24028,"Hochelaga/Hochelaga"," 129","Montréal",80,1,0,5,3,46,27,6,1,169,445
