Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Mark Brooks,Sam Heaton,Marlene Rivier,Rod Taylor,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 88","Nepean",112,10,0,23,2,160,1,308,470
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 89","Nepean",63,5,1,21,4,113,4,211,370
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 90","Nepean",60,11,0,17,3,134,1,226,315
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 91","Nepean",171,8,0,30,10,235,0,454,433
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 92","Nepean",84,11,2,26,6,159,1,289,443
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 93A","Nepean",Merged with No./Fusionné avec le n°91,,,,,,,,262
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 93B","Nepean",68,6,0,12,3,99,1,189,273
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 94","Nepean",95,10,0,14,1,169,1,290,466
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 95A","Nepean",42,5,1,32,3,101,1,185,321
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 95B","Nepean",66,4,0,2,7,35,1,115,155
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 96","Nepean",82,2,0,18,9,108,1,220,364
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 97","Nepean",107,2,0,20,1,172,1,303,563
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 98","Nepean",106,8,0,18,7,135,1,275,465
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 99","Nepean",67,5,2,25,3,154,1,257,543
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 100","Nepean",78,8,0,18,0,147,0,251,472
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 101","Nepean",37,9,0,28,0,125,1,200,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 102","Nepean",67,3,1,14,5,106,1,197,429
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 103","Nepean",68,1,0,24,0,107,1,201,385
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 104","Nepean",117,5,0,18,8,118,2,268,539
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 105","Nepean",52,8,0,11,0,85,0,156,314
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 106","Nepean",60,8,1,32,5,152,2,260,504
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 107","Nepean",34,6,0,43,0,148,1,232,512
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 108","Nepean",23,4,0,11,4,53,0,95,248
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 109","Nepean",51,5,0,10,5,89,1,161,330
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 110","Nepean",74,0,0,5,1,65,0,145,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 111","Nepean",83,2,1,3,3,104,0,196,365
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 112","Nepean",98,8,0,11,0,105,0,222,441
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 113","Nepean",49,3,1,10,1,67,0,131,332
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 114","Nepean",72,4,1,34,2,128,2,243,461
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 115","Nepean",48,3,0,34,4,91,1,181,381
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 116","Nepean",104,8,0,9,5,160,1,287,413
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 117","Ottawa",73,6,0,12,2,100,0,193,375
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 118","Ottawa",55,5,1,17,0,147,0,225,455
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 119","Ottawa",71,5,0,32,1,84,0,193,381
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 120","Ottawa",90,5,0,29,6,175,1,306,527
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 121","Ottawa",97,8,1,27,3,140,3,279,466
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 122","Ottawa",43,4,0,32,0,122,0,201,361
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 123","Ottawa",97,8,1,27,3,140,3,279,426
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 124","Ottawa",89,3,1,20,0,124,3,240,336
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 125","Ottawa",58,11,0,33,2,150,3,257,437
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 126","Ottawa",40,10,0,40,0,164,11,265,455
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 127","Ottawa",35,8,1,18,3,95,0,160,380
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 128","Ottawa",32,10,0,22,1,100,0,165,422
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 129","Ottawa",80,3,0,22,1,149,0,255,430
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 130","Ottawa",42,5,1,22,3,107,1,181,379
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 131","Ottawa",93,8,0,36,3,164,0,304,618
