Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Berthiaume,Luc Berthold,Jean-François Delisle,Justin Gervais,Virginie Provost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 122","Princeville",48,115,40,3,31,6,243,529
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 123","Princeville",46,74,39,1,28,3,191,432
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 124","Princeville",55,65,28,4,18,5,175,380
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 125","Princeville",46,76,47,6,34,7,216,443
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 126","Princeville",70,70,60,4,18,4,226,415
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 127","Plessisville",63,42,42,5,29,4,185,319
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 128","Plessisville",33,51,38,4,27,4,157,311
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 129","Plessisville",71,79,31,0,23,2,206,371
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 130","Plessisville",31,52,31,1,20,0,135,296
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 131","Sainte-Sophie",73,88,67,7,42,11,288,478
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 132","Saint-Julien",39,58,47,1,28,2,175,310
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 133","Saint-Fortunat",34,50,30,11,30,3,158,226
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 134","Saint-Jacques-le-Majeur-de-Wolfestown",43,22,31,3,18,1,118,159
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 135","Disraëli",45,65,49,3,33,5,200,514
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 136","Disraëli",35,25,14,2,13,1,90,267
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 137","Disraëli",42,49,14,1,19,2,127,315
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 138","Disraëli",40,22,16,2,12,1,93,261
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 139","Disraëli",39,29,23,1,25,1,118,397
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 140","Disraëli",56,63,28,0,24,4,175,423
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 141","Disraëli",56,60,25,2,26,3,172,415
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 142","Disraëli",52,54,18,1,17,3,145,373
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 143","Sainte-Praxède",31,62,34,3,22,1,153,299
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 144","Lambton",65,73,29,2,23,2,194,494
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 145","Lambton",47,64,36,5,20,0,172,390
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 146","Lambton",30,58,16,2,11,2,119,277
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 147","Courcelles",50,79,33,4,20,1,187,326
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 148","Courcelles",72,98,39,6,29,4,248,391
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 149","Saint-Sébastien",48,45,33,0,21,2,149,250
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 150","Saint-Sébastien",50,67,35,5,15,5,177,264
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 151","Lac-Drolet",50,56,48,10,28,3,195,280
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 152","Lac-Drolet",53,50,29,9,38,1,180,286
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 153","Lac-Drolet",53,57,39,6,27,2,184,273
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 154","Saint-Ludger",34,60,20,2,16,4,136,336
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 155","Saint-Ludger",34,46,21,2,12,1,116,247
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 156","Saint-Ludger",29,50,22,3,12,7,123,276
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 157","Saint-Robert-Bellarmin",32,39,16,4,7,8,106,230
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 158","Saint-Robert-Bellarmin",40,57,10,1,7,5,120,247
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 159","Audet",38,43,44,4,19,2,150,255
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 160","Audet",45,68,23,2,20,2,160,272
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 161","Sainte-Cécile-de-Whitton",45,36,47,3,15,2,148,327
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 162","Sainte-Cécile-de-Whitton",59,41,34,8,26,2,170,329
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 163","Saint-Romain",53,60,37,2,29,4,185,307
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 164","Saint-Romain",36,60,34,3,28,4,165,302
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 165","Stornoway",48,30,34,5,10,2,129,201
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 166","Stornoway",41,31,33,1,29,4,139,217
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 167","Stratford",38,37,31,2,29,3,140,271
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 168","Stratford",49,19,34,4,25,3,134,266
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 169","Stratford",58,28,40,2,24,4,156,277
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 170","Garthby",60,58,37,3,31,4,193,369
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 171","Garthby",55,54,54,2,32,3,200,399
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 172","Nantes",31,55,43,7,21,2,159,325
