Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laverne M. Lewycky,Inky Mark,Ray Piché,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 185A","Sioux Valley",34,1,87,6,4,1,133,325
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 185B","Sioux Valley",26,1,79,3,3,2,114,266
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 185C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°518,,,,,,,10
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 186A","Waywayseecappo First Nation",65,1,99,8,9,0,182,384
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 186B","Waywayseecappo First Nation",48,1,101,4,5,2,161,387
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 500","Mobile poll/Bureau itinérant",5,3,4,21,0,1,34,64
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 501","Mobile poll/Bureau itinérant",23,6,9,39,3,1,81,110
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 502","Mobile poll/Bureau itinérant",12,14,7,26,1,2,62,144
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 503","Mobile poll/Bureau itinérant",15,9,8,24,2,0,58,105
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 504","Mobile poll/Bureau itinérant",14,10,5,6,1,1,37,92
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 505","Mobile poll/Bureau itinérant",50,15,26,59,7,0,157,232
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 506","Mobile poll/Bureau itinérant",27,15,29,41,1,2,115,155
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 507","Mobile poll/Bureau itinérant",10,12,19,23,5,0,69,160
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 508","Mobile poll/Bureau itinérant",7,6,10,20,1,0,44,40
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 509","Mobile poll/Bureau itinérant",3,6,6,13,0,1,29,72
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 510","Mobile poll/Bureau itinérant",5,7,5,14,1,0,32,45
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 511","Mobile poll/Bureau itinérant",0,6,9,13,2,2,32,57
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 512","Mobile poll/Bureau itinérant",5,15,11,25,2,1,59,114
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 513","Mobile poll/Bureau itinérant",5,10,39,50,8,1,113,210
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 514","Mobile poll/Bureau itinérant",1,1,3,14,0,0,19,64
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 515","Mobile poll/Bureau itinérant",2,4,9,13,9,0,37,64
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 516","Mobile poll/Bureau itinérant",6,8,18,24,1,1,58,99
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 517","Mobile poll/Bureau itinérant",3,5,8,19,3,1,39,69
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 518","Mobile poll/Bureau itinérant",6,7,26,23,2,1,65,80
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 519","Mobile poll/Bureau itinérant",10,4,22,23,1,0,60,123
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 600","Barrows",3,0,17,0,0,0,20,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 601","Pelican Rapids",33,1,18,1,1,0,54,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 602","Birch River--Mafeking",8,2,24,9,0,1,44,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 603","Camperville",12,3,123,2,0,0,140,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 604","Swan River",76,29,162,322,19,0,608,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 605","Winnipegosis",10,11,39,68,1,0,129,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 606","Waterhen",18,5,25,15,0,0,63,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 607","Roblin",19,21,52,175,18,1,286,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 608","Grandview--Gilbert Plains",34,29,36,91,7,0,197,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 609","Dauphin",70,36,197,296,22,2,623,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 610","Dauphin",69,52,124,191,20,2,458,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 611","Ste. Rose du Lac",20,10,69,80,10,0,189,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 612","Crane River 51",22,0,30,1,0,2,55,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 613","Ebb and Flow 52","Combined with No./Combiné au n°85",,,,,,,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 614","Russell",18,47,61,175,11,1,313,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 615","Waywayseecappo First Nation",26,2,54,5,4,0,91,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 616","Rossburn",9,25,19,69,0,0,122,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 617","Shoal Lake",6,37,37,76,5,0,161,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 618","Sandy Lake ",18,4,47,4,1,0,74,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 619","Minnedosa",32,37,182,213,23,1,488,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 620","McCreary",21,12,38,54,9,1,135,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 621","Sandy Bay",397,4,86,4,2,2,495,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 622","Neepawa",23,19,130,250,20,1,443,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 623","Gladstore",10,11,25,108,4,1,159,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 624","Birtle",18,30,27,40,5,1,121,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 625","Hamiota",9,39,23,42,4,0,117,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 626","Sioux Valley",17,2,37,0,1,0,57,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 627","Brandon--Rivers",16,12,67,98,11,0,204,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 628","Carberry",12,12,55,101,6,1,187,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 629","North Norfolk--Victoria",14,5,34,192,6,0,251,
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa",,"Group 1/Groupe 1",19,9,71,23,4,7,133,120
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa",,"Group 2/Groupe 2",124,76,265,398,49,19,931,
