Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,John P. Curley,Max Kennedy,Todd Lever,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 68","Timmins",68,35,1,66,0,170,332
35107,"Timmins--James Bay/Timmins--Baie James"," 69","Timmins",51,30,4,53,0,138,329
35107,"Timmins--James Bay/Timmins--Baie James"," 70","Timmins",57,28,3,63,0,151,318
35107,"Timmins--James Bay/Timmins--Baie James"," 71","Timmins",84,27,7,66,0,184,267
35107,"Timmins--James Bay/Timmins--Baie James"," 72A","Timmins",40,39,5,59,2,145,246
35107,"Timmins--James Bay/Timmins--Baie James"," 72B","Timmins",Merged with No./Fusionné avec le n°71,,,,,,99
35107,"Timmins--James Bay/Timmins--Baie James"," 73","Timmins",56,43,2,79,0,180,348
35107,"Timmins--James Bay/Timmins--Baie James"," 74","Timmins",46,47,2,72,1,168,387
35107,"Timmins--James Bay/Timmins--Baie James"," 75","Timmins",39,34,2,37,0,112,283
35107,"Timmins--James Bay/Timmins--Baie James"," 76","Timmins",50,6,5,36,0,97,381
35107,"Timmins--James Bay/Timmins--Baie James"," 77","Timmins",56,28,2,77,0,163,460
35107,"Timmins--James Bay/Timmins--Baie James"," 78","Timmins",65,34,3,59,1,162,414
35107,"Timmins--James Bay/Timmins--Baie James"," 79","Timmins",77,45,13,87,0,222,483
35107,"Timmins--James Bay/Timmins--Baie James"," 80","Timmins",47,47,1,61,0,156,350
35107,"Timmins--James Bay/Timmins--Baie James"," 81","Timmins",38,35,6,55,0,134,337
35107,"Timmins--James Bay/Timmins--Baie James"," 82","Timmins",66,63,4,89,2,224,471
35107,"Timmins--James Bay/Timmins--Baie James"," 83","Timmins",79,62,11,84,0,236,484
35107,"Timmins--James Bay/Timmins--Baie James"," 84","Timmins",53,42,3,50,0,148,326
