Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurent Aglat,Claude André,Alexandre Boulerice,Stéphane Chénier,Peter d'Entremont,Jeremy Dohan,Nadine Medawar,Sameer Muldeen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 196","Montréal",1,27,129,1,2,5,46,7,2,220,410
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 197","Montréal",1,63,84,0,2,13,28,4,1,196,361
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 198","Montréal",4,70,127,0,0,6,44,8,0,259,415
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 199","Montréal",3,80,129,0,1,9,45,9,2,278,481
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 200","Montréal",2,71,106,2,0,4,71,13,2,271,459
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 201","Montréal",0,56,126,0,0,8,61,7,2,260,461
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 202","Montréal",1,33,90,0,0,20,60,1,2,207,358
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 203","Montréal",2,63,107,0,0,8,42,6,6,234,518
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 204","Montréal",4,35,77,2,1,9,28,5,0,161,336
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 205","Montréal",0,28,69,1,1,6,80,6,0,191,451
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 206","Montréal",2,47,74,0,0,7,34,1,6,171,306
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 207","Montréal",0,39,69,0,2,5,28,3,1,147,271
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 208","Montréal",1,46,101,0,0,11,57,2,1,219,400
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 209A","Montréal",1,31,71,0,0,10,41,12,0,166,304
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 209B","Montréal",3,31,65,0,2,9,39,3,1,153,300
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 210","Montréal",2,58,61,2,1,15,53,6,3,201,442
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 211","Montréal",1,59,159,0,1,30,92,6,2,350,531
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 400","Montréal",0,25,26,0,2,8,32,1,2,96,469
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500","Mobile poll/Bureau itinérant",6,23,12,2,1,7,54,2,4,111,265
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 501","Mobile poll/Bureau itinérant",1,3,10,0,0,19,33,1,5,72,131
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 502","Mobile poll/Bureau itinérant",2,16,11,5,2,2,23,3,5,69,129
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 503","Mobile poll/Bureau itinérant",1,17,1,0,1,7,50,4,4,85,159
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 504","Mobile poll/Bureau itinérant",1,15,7,0,2,3,39,1,0,68,229
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 600","Montréal",8,201,352,1,0,48,146,13,14,783,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 601","Montréal",4,129,256,2,8,23,100,13,5,540,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 602","Montréal",6,204,430,3,3,52,189,16,9,912,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 603","Montréal",4,234,354,1,2,47,118,29,13,802,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 604","Montréal",3,167,437,1,4,47,181,19,6,865,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 605","Montréal",6,221,574,4,5,80,308,19,9,1226,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 606","Montréal",7,169,362,0,1,27,95,16,7,684,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 607","Montréal",2,216,461,2,4,41,122,15,8,871,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 608","Montréal",8,150,369,1,6,31,95,13,9,682,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 609","Montréal",8,147,381,2,5,18,103,17,10,691,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 610","Montréal",4,157,468,1,3,35,136,18,8,830,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 611","Montréal",10,139,570,2,1,46,100,29,9,906,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 612","Montréal",7,70,423,4,4,35,126,20,3,692,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 613","Montréal",7,145,507,5,6,45,171,21,14,921,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,"Group 1/Groupe 1",3,15,61,1,0,16,53,5,9,163,153
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,"Group 2/Groupe 2",9,330,1038,5,8,55,271,60,26,1802,
